gene,scaffold,gene_id,gene_description,category,header,subheader,module,amg_flags,d,p,f,spore_likely
Norman_149_NODE_51_length_14066_cov_21.718721_2,Norman_149_NODE_51_length_14066_cov_21.718721,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,FM,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Norman_149_NODE_63_length_11525_cov_13.302267_11,Norman_149_NODE_63_length_11525_cov_13.302267,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,FM,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Norman_149_NODE_88_length_7842_cov_11.367536_15,Norman_149_NODE_88_length_7842_cov_11.367536,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,FM,Bacteria,p__Firmicutes,f__Erysipelatoclostridiaceae,FALSE
Norman_150_NODE_22_length_6425_cov_8.129984_7,Norman_150_NODE_22_length_6425_cov_8.129984,K03091,sigH;RNA polymerase sigma-H factor,MISC,RNA synthesis and degradation,Transcription,Sigma factors,FM,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Norman_158_NODE_1_length_92441_cov_88.795337_9,Norman_158_NODE_1_length_92441_cov_88.795337,K01449,cwlJ;cell wall hydrolase CwlJ,MISC,Sporulation,Sporulation proteins,Spore coat proteins,M,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Norman_158_NODE_9_length_39805_cov_439.769844_28,Norman_158_NODE_9_length_39805_cov_439.769844,K01356,lexA;lexa repressor,MISC,Genetics,DNA repair/ recombination,NA,M,Bacteria,p__Firmicutes,f__Erysipelotrichaceae,FALSE
Norman_158_NODE_9_length_39805_cov_439.769844_40,Norman_158_NODE_9_length_39805_cov_439.769844,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,M,Bacteria,p__Firmicutes,f__Erysipelotrichaceae,FALSE
Norman_159_NODE_37_length_17179_cov_331.634373_10,Norman_159_NODE_37_length_17179_cov_331.634373,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,M,Bacteria,p__Firmicutes_A,f__Clostridiaceae,TRUE
Norman_159_NODE_5_length_59950_cov_49.516203_73,Norman_159_NODE_5_length_59950_cov_49.516203,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,M,Bacteria,p__Firmicutes_A,f__Oscillospiraceae,FALSE
Norman_159_NODE_69_length_8368_cov_5.304944_16,Norman_159_NODE_69_length_8368_cov_5.304944,K04769,spoVT;stage V sporulation protein T,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,FM,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Norman_159_NODE_7_length_59311_cov_96.453102_58,Norman_159_NODE_7_length_59311_cov_96.453102,K01449,cwlJ;cell wall hydrolase CwlJ,MISC,Sporulation,Sporulation proteins,Spore coat proteins,M,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Norman_160_NODE_7_length_58496_cov_20.118188_73,Norman_160_NODE_7_length_58496_cov_20.118188,K03091,sigH;RNA polymerase sigma-H factor,MISC,RNA synthesis and degradation,Transcription,Sigma factors,M,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Norman_160_NODE_80_length_5166_cov_6.778126_4,Norman_160_NODE_80_length_5166_cov_6.778126,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,FM,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Norman_160_NODE_8_length_50190_cov_18.839354_1,Norman_160_NODE_8_length_50190_cov_18.839354,K03469,ypeP;hypothetical protein,MISC,Sporulation,Sporulation proteins,Spore coat proteins,FM,Bacteria,p__Firmicutes_A,f__CAG-272,FALSE
Norman_161_NODE_4_length_48469_cov_31.665840_24,Norman_161_NODE_4_length_48469_cov_31.665840,K03469,ypeP;hypothetical protein,MISC,Sporulation,Sporulation proteins,Spore coat proteins,M,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Norman_163_NODE_5_length_40488_cov_621.639824_3,Norman_163_NODE_5_length_40488_cov_621.639824,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,FM,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Norman_165_NODE_7_length_34201_cov_10.120190_6,Norman_165_NODE_7_length_34201_cov_10.120190,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,FM,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Norman_23_NODE_1_length_54599_cov_21.247085_58,Norman_23_NODE_1_length_54599_cov_21.247085,K01356,lexA;lexa repressor,MISC,Genetics,DNA repair/ recombination,NA,TM,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Norman_24_NODE_15_length_40081_cov_44.165093_44,Norman_24_NODE_15_length_40081_cov_44.165093,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,M,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Norman_24_NODE_1_length_90083_cov_206.271504_7,Norman_24_NODE_1_length_90083_cov_206.271504,K07171,Endoribonuclease toxin,MISC,sporulation,sporulation,sporulation,TFM,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Norman_24_NODE_22_length_34843_cov_27.058756_21,Norman_24_NODE_22_length_34843_cov_27.058756,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,M,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Norman_24_NODE_2_length_69825_cov_73.480751_97,Norman_24_NODE_2_length_69825_cov_73.480751,K01356,lexA;lexa repressor,MISC,Genetics,DNA repair/ recombination,NA,M,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Norman_24_NODE_64_length_13792_cov_50.373808_4,Norman_24_NODE_64_length_13792_cov_50.373808,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,TFM,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Norman_24_NODE_6_length_52693_cov_46.803393_10,Norman_24_NODE_6_length_52693_cov_46.803393,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,FM,Bacteria,p__Bacteroidota,f__Marinifilaceae,NA
Norman_31_NODE_10_length_33637_cov_72.858645_14,Norman_31_NODE_10_length_33637_cov_72.858645,K01356,lexA;lexa repressor,MISC,Genetics,DNA repair/ recombination,NA,M,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Norman_31_NODE_10_length_33637_cov_72.858645_19,Norman_31_NODE_10_length_33637_cov_72.858645,K03469,ypeP;hypothetical protein,MISC,Sporulation,Sporulation proteins,Spore coat proteins,M,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Norman_31_NODE_5_length_42467_cov_34.141116_27,Norman_31_NODE_5_length_42467_cov_34.141116,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,M,Bacteria,p__Firmicutes_A,f__Oscillospiraceae,FALSE
Norman_33_NODE_1_length_61915_cov_10.801423_91,Norman_33_NODE_1_length_61915_cov_10.801423,K01449,cwlJ;cell wall hydrolase CwlJ,MISC,Sporulation,Sporulation proteins,Spore coat proteins,FM,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Norman_39_NODE_4_length_36869_cov_19.022627_61,Norman_39_NODE_4_length_36869_cov_19.022627,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,TFM,Bacteria,p__Firmicutes,f__Erysipelotrichaceae,FALSE
Norman_39_NODE_7_length_32324_cov_36.720971_13,Norman_39_NODE_7_length_32324_cov_36.720971,K03469,ypeP;hypothetical protein,MISC,Sporulation,Sporulation proteins,Spore coat proteins,FM,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Norman_40_NODE_3_length_51957_cov_457.152075_39,Norman_40_NODE_3_length_51957_cov_457.152075,K03091,sigH;RNA polymerase sigma-H factor,MISC,RNA synthesis and degradation,Transcription,Sigma factors,M,Bacteria,p__Firmicutes_A,f__Peptostreptococcaceae,TRUE
Norman_40_NODE_9_length_30302_cov_76.067841_27,Norman_40_NODE_9_length_30302_cov_76.067841,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,M,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Norman_40_NODE_9_length_30302_cov_76.067841_42,Norman_40_NODE_9_length_30302_cov_76.067841,K03469,ypeP;hypothetical protein,MISC,Sporulation,Sporulation proteins,Spore coat proteins,FM,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Norman_40_NODE_9_length_30302_cov_76.067841_47,Norman_40_NODE_9_length_30302_cov_76.067841,K01356,lexA;lexa repressor,MISC,Genetics,DNA repair/ recombination,NA,FM,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Norman_44_NODE_14_length_7026_cov_5.908908_4,Norman_44_NODE_14_length_7026_cov_5.908908,K01356,lexA;lexa repressor,MISC,Genetics,DNA repair/ recombination,NA,FM,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Norman_47_NODE_27_length_7042_cov_4.084872_4,Norman_47_NODE_27_length_7042_cov_4.084872,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,FM,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Norman_47_NODE_2_length_46648_cov_21.035070_5,Norman_47_NODE_2_length_46648_cov_21.035070,K07171,Endoribonuclease toxin,MISC,sporulation,sporulation,sporulation,FM,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Norman_47_NODE_2_length_46648_cov_21.035070_6,Norman_47_NODE_2_length_46648_cov_21.035070,K03091,sigH;RNA polymerase sigma-H factor,MISC,RNA synthesis and degradation,Transcription,Sigma factors,M,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Norman_47_NODE_3_length_43072_cov_149.120650_4,Norman_47_NODE_3_length_43072_cov_149.120650,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,FM,Bacteria,p__Firmicutes_A,f__Oscillospiraceae,FALSE
Norman_47_NODE_5_length_35915_cov_10.874568_53,Norman_47_NODE_5_length_35915_cov_10.874568,K01356,lexA;lexa repressor,MISC,Genetics,DNA repair/ recombination,NA,M,Bacteria,p__Firmicutes_A,f__Oscillospiraceae,FALSE
Norman_47_NODE_5_length_35915_cov_10.874568_66,Norman_47_NODE_5_length_35915_cov_10.874568,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,FM,Bacteria,p__Firmicutes_A,f__Oscillospiraceae,FALSE
Norman_51_NODE_16_length_44261_cov_36.978012_43,Norman_51_NODE_16_length_44261_cov_36.978012,K03469,ypeP;hypothetical protein,MISC,Sporulation,Sporulation proteins,Spore coat proteins,M,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Norman_51_NODE_23_length_39383_cov_27.742601_6,Norman_51_NODE_23_length_39383_cov_27.742601,K07699,spo0A;stage 0 sporulation protein A,MISC,Sporulation,phosphorelay,NA,FM,Bacteria,p__Firmicutes,f__Erysipelotrichaceae,FALSE
Norman_52_NODE_33_length_9135_cov_7.084141_10,Norman_52_NODE_33_length_9135_cov_7.084141,K03469,ypeP;hypothetical protein,MISC,Sporulation,Sporulation proteins,Spore coat proteins,FM,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Norman_53_NODE_17_length_36545_cov_111.636202_37,Norman_53_NODE_17_length_36545_cov_111.636202,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,M,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Norman_57_NODE_5_length_35600_cov_93.329132_34,Norman_57_NODE_5_length_35600_cov_93.329132,K01356,lexA;lexa repressor,MISC,Genetics,DNA repair/ recombination,NA,M,Bacteria,p__Firmicutes_A,f__Acutalibacteraceae,FALSE
Norman_62_NODE_1_length_80275_cov_1028.023124_56,Norman_62_NODE_1_length_80275_cov_1028.023124,K07171,Endoribonuclease toxin,MISC,sporulation,sporulation,sporulation,M,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Norman_62_NODE_1_length_80275_cov_1028.023124_76,Norman_62_NODE_1_length_80275_cov_1028.023124,K01449,cwlJ;cell wall hydrolase CwlJ,MISC,Sporulation,Sporulation proteins,Spore coat proteins,M,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Norman_66_NODE_10_length_52186_cov_16.082101_2,Norman_66_NODE_10_length_52186_cov_16.082101,K23989,lytD;beta-N-acetylglucosaminidase,MISC,Cell envelope and cell division,Cell wall degradation/ turnover,Autolysis,FM,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Norman_66_NODE_19_length_35635_cov_26.713716_32,Norman_66_NODE_19_length_35635_cov_26.713716,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,M,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Norman_66_NODE_33_length_19854_cov_7.972574_11,Norman_66_NODE_33_length_19854_cov_7.972574,K01356,lexA;lexa repressor,MISC,Genetics,DNA repair/ recombination,NA,FM,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Norman_70_NODE_11_length_38022_cov_21.815155_37,Norman_70_NODE_11_length_38022_cov_21.815155,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,M,Bacteria,p__Firmicutes_A,f__Clostridiaceae,TRUE
Norman_70_NODE_1_length_132712_cov_270.819158_62,Norman_70_NODE_1_length_132712_cov_270.819158,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,TM,Bacteria,p__Firmicutes_A,f__Peptostreptococcaceae,TRUE
Norman_70_NODE_2_length_130278_cov_205.901292_184,Norman_70_NODE_2_length_130278_cov_205.901292,K07171,Endoribonuclease toxin,MISC,sporulation,sporulation,sporulation,TFM,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Norman_70_NODE_3_length_72064_cov_1812.985932_85,Norman_70_NODE_3_length_72064_cov_1812.985932,K03091,sigH;RNA polymerase sigma-H factor,MISC,RNA synthesis and degradation,Transcription,Sigma factors,TM,Bacteria,p__Firmicutes_A,f__Peptostreptococcaceae,TRUE
Norman_70_NODE_47_length_7368_cov_11.263914_9,Norman_70_NODE_47_length_7368_cov_11.263914,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,FM,Bacteria,p__Firmicutes_A,f__Peptostreptococcaceae,TRUE
Norman_70_NODE_52_length_6901_cov_17.404032_1,Norman_70_NODE_52_length_6901_cov_17.404032,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,FM,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Norman_70_NODE_5_length_44482_cov_22.504423_40,Norman_70_NODE_5_length_44482_cov_22.504423,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,TM,Bacteria,p__Firmicutes_A,f__Peptostreptococcaceae,TRUE
Norman_71_NODE_45_length_12541_cov_124.664344_19,Norman_71_NODE_45_length_12541_cov_124.664344,K03091,sigH;RNA polymerase sigma-H factor,MISC,RNA synthesis and degradation,Transcription,Sigma factors,FM,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Norman_71_NODE_92_length_6190_cov_4.654768_14,Norman_71_NODE_92_length_6190_cov_4.654768,K01356,lexA;lexa repressor,MISC,Genetics,DNA repair/ recombination,NA,FM,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Norman_74_NODE_3_length_35814_cov_26.555832_23,Norman_74_NODE_3_length_35814_cov_26.555832,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,M,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Norman_77_NODE_9_length_41051_cov_803.817446_44,Norman_77_NODE_9_length_41051_cov_803.817446,K07699,spo0A;stage 0 sporulation protein A,MISC,Sporulation,phosphorelay,NA,M,Bacteria,p__Firmicutes,f__Erysipelotrichaceae,FALSE
Norman_79_NODE_20_length_28950_cov_15.162900_10,Norman_79_NODE_20_length_28950_cov_15.162900,K07699,spo0A;stage 0 sporulation protein A,MISC,Sporulation,phosphorelay,NA,FM,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Norman_79_NODE_20_length_28950_cov_15.162900_38,Norman_79_NODE_20_length_28950_cov_15.162900,K04769,spoVT;stage V sporulation protein T,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,M,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Norman_80_NODE_82_length_5478_cov_6.477964_3,Norman_80_NODE_82_length_5478_cov_6.477964,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,FM,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Norman_84_NODE_2_length_44985_cov_227.446072_9,Norman_84_NODE_2_length_44985_cov_227.446072,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,FM,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Norman_86_NODE_4_length_40450_cov_27.555341_27,Norman_86_NODE_4_length_40450_cov_27.555341,K01356,lexA;lexa repressor,MISC,Genetics,DNA repair/ recombination,NA,M,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Norman_87_NODE_5_length_25711_cov_13.938416_34,Norman_87_NODE_5_length_25711_cov_13.938416,K04769,spoVT;stage V sporulation protein T,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,FM,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Norman_90_NODE_10_length_38835_cov_107.475529_4,Norman_90_NODE_10_length_38835_cov_107.475529,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,FM,Bacteria,p__Firmicutes_A,f__Oscillospiraceae,FALSE
Norman_90_NODE_12_length_37179_cov_34.698416_24,Norman_90_NODE_12_length_37179_cov_34.698416,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,TM,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Norman_90_NODE_12_length_37179_cov_34.698416_34,Norman_90_NODE_12_length_37179_cov_34.698416,K04769,spoVT;stage V sporulation protein T,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,TM,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Norman_90_NODE_3_length_62632_cov_65.456941_52,Norman_90_NODE_3_length_62632_cov_65.456941,K01449,cwlJ;cell wall hydrolase CwlJ,MISC,Sporulation,Sporulation proteins,Spore coat proteins,M,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Norman_91_NODE_22_length_13222_cov_20.164198_19,Norman_91_NODE_22_length_13222_cov_20.164198,K07171,Endoribonuclease toxin,MISC,sporulation,sporulation,sporulation,FM,Bacteria,p__Firmicutes,f__Erysipelatoclostridiaceae,FALSE
Norman_98_NODE_7_length_15339_cov_13.200144_22,Norman_98_NODE_7_length_15339_cov_13.200144,K07171,Endoribonuclease toxin,MISC,sporulation,sporulation,sporulation,FM,Bacteria,p__Firmicutes_A,f__Oscillospiraceae,FALSE
Norman_9_NODE_2_length_111527_cov_22.344768_83,Norman_9_NODE_2_length_111527_cov_22.344768,K01449,cwlJ;cell wall hydrolase CwlJ,MISC,Sporulation,Sporulation proteins,Spore coat proteins,M,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Norman_9_NODE_2_length_111527_cov_22.344768_117,Norman_9_NODE_2_length_111527_cov_22.344768,K07171,Endoribonuclease toxin,MISC,sporulation,sporulation,sporulation,M,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Rampelli_10001_NODE_104_length_56133_cov_4.753647_7,Rampelli_10001_NODE_104_length_56133_cov_4.753647,K03469,ypeP;hypothetical protein,MISC,Sporulation,Sporulation proteins,Spore coat proteins,FM,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Rampelli_10001_NODE_104_length_56133_cov_4.753647_26,Rampelli_10001_NODE_104_length_56133_cov_4.753647,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,M,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Rampelli_10001_NODE_104_length_56133_cov_4.753647_80,Rampelli_10001_NODE_104_length_56133_cov_4.753647,K04769,spoVT;stage V sporulation protein T,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,FM,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Rampelli_10001_NODE_3314_length_5076_cov_3.111133_1,Rampelli_10001_NODE_3314_length_5076_cov_3.111133,K03469,ypeP;hypothetical protein,MISC,Sporulation,Sporulation proteins,Spore coat proteins,FM,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Rampelli_10002_NODE_15_length_66752_cov_10.572200_13,Rampelli_10002_NODE_15_length_66752_cov_10.572200,K01449,cwlJ;cell wall hydrolase CwlJ,MISC,Sporulation,Sporulation proteins,Spore coat proteins,M,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Rampelli_10002_NODE_15_length_66752_cov_10.572200_23,Rampelli_10002_NODE_15_length_66752_cov_10.572200,K03091,sigH;RNA polymerase sigma-H factor,MISC,RNA synthesis and degradation,Transcription,Sigma factors,M,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Rampelli_10003_NODE_15_length_135895_cov_372.638486_49,Rampelli_10003_NODE_15_length_135895_cov_372.638486,K03469,ypeP;hypothetical protein,MISC,Sporulation,Sporulation proteins,Spore coat proteins,TM,Bacteria,p__Bacteroidota,f__Bacteroidaceae,NA
Rampelli_10003_NODE_15_length_135895_cov_372.638486_212,Rampelli_10003_NODE_15_length_135895_cov_372.638486,K03469,ypeP;hypothetical protein,MISC,Sporulation,Sporulation proteins,Spore coat proteins,TM,Bacteria,p__Bacteroidota,f__Bacteroidaceae,NA
Rampelli_10003_NODE_3566_length_5935_cov_3.879252_2,Rampelli_10003_NODE_3566_length_5935_cov_3.879252,K07171,Endoribonuclease toxin,MISC,sporulation,sporulation,sporulation,FM,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Rampelli_10003_NODE_591_length_18369_cov_36.695861_2,Rampelli_10003_NODE_591_length_18369_cov_36.695861,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,TFM,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Rampelli_10003_NODE_989_length_13674_cov_4.743080_23,Rampelli_10003_NODE_989_length_13674_cov_4.743080,K04769,spoVT;stage V sporulation protein T,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,FM,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Rampelli_10004_NODE_156_length_19556_cov_29.427517_30,Rampelli_10004_NODE_156_length_19556_cov_29.427517,K01449,cwlJ;cell wall hydrolase CwlJ,MISC,Sporulation,Sporulation proteins,Spore coat proteins,FM,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Rampelli_10004_NODE_34_length_45269_cov_4.601539_29,Rampelli_10004_NODE_34_length_45269_cov_4.601539,K07097,nrnB;oligoribonuclease NrnB,MISC,Sporulation,Sporulation proteins,Newly identified sporulation proteins (based on transcription profiling),M,Bacteria,p__Bacteroidota,f__Bacteroidaceae,NA
Rampelli_10005_NODE_22_length_35734_cov_14.717285_11,Rampelli_10005_NODE_22_length_35734_cov_14.717285,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,M,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Rampelli_10006_NODE_23_length_53534_cov_6.816283_32,Rampelli_10006_NODE_23_length_53534_cov_6.816283,K03469,ypeP;hypothetical protein,MISC,Sporulation,Sporulation proteins,Spore coat proteins,M,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Rampelli_10006_NODE_23_length_53534_cov_6.816283_37,Rampelli_10006_NODE_23_length_53534_cov_6.816283,K03091,sigH;RNA polymerase sigma-H factor,MISC,RNA synthesis and degradation,Transcription,Sigma factors,M,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Rampelli_10007_NODE_3_length_142665_cov_19.440116_178,Rampelli_10007_NODE_3_length_142665_cov_19.440116,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,FM,Bacteria,p__Bacteroidota,f__Bacteroidaceae,NA
Rampelli_10009_NODE_90_length_41861_cov_25.785318_27,Rampelli_10009_NODE_90_length_41861_cov_25.785318,K03091,sigH;RNA polymerase sigma-H factor,MISC,RNA synthesis and degradation,Transcription,Sigma factors,M,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Rampelli_10010_NODE_115_length_68045_cov_6.208913_47,Rampelli_10010_NODE_115_length_68045_cov_6.208913,K07171,Endoribonuclease toxin,MISC,sporulation,sporulation,sporulation,TM,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Rampelli_10010_NODE_115_length_68045_cov_6.208913_50,Rampelli_10010_NODE_115_length_68045_cov_6.208913,K04769,spoVT;stage V sporulation protein T,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,TM,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Rampelli_10010_NODE_115_length_68045_cov_6.208913_75,Rampelli_10010_NODE_115_length_68045_cov_6.208913,K07097,nrnB;oligoribonuclease NrnB,MISC,Sporulation,Sporulation proteins,Newly identified sporulation proteins (based on transcription profiling),TM,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Rampelli_10010_NODE_115_length_68045_cov_6.208913_121,Rampelli_10010_NODE_115_length_68045_cov_6.208913,K01449,cwlJ;cell wall hydrolase CwlJ,MISC,Sporulation,Sporulation proteins,Spore coat proteins,TM,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Rampelli_10010_NODE_1308_length_18409_cov_5.589408_35,Rampelli_10010_NODE_1308_length_18409_cov_5.589408,K01449,cwlJ;cell wall hydrolase CwlJ,MISC,Sporulation,Sporulation proteins,Spore coat proteins,TFM,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
