locus,title,description,function,product
BSU_16140,codV,"site-specific integrase/recombinase,partitioning of the terminus region after replication",chromosome partitioning,site-specific integrase/recombinase
BSU_28650,rlmP,"SPOUT methyltransferase,forms 2'-O-methylguanosine at position 2553 in the A-loop of 23S rRNA",formation of 2'-O-methylguanosine at position 2553 in the A-loop of 23S rRNA,SPOUT methyltransferase
BSU_24380,spoIIIAF,"component of the [[protein|SpoIIIA]]-[[protein|3282D2C25468776881778006F182FCF322C4821D]] type III secretion system residing in the forespore membrane,required for [[protein|5F24258282F3166B7696B9E9ABC1706E4D06C944]] activation",activation of [[protein|5F24258282F3166B7696B9E9ABC1706E4D06C944]],component of a type III secretion system
BSU_28550,fadR,"transcriptional repressor (TetR family),regulation of fatty acid degradation",regulation of fatty acid degradation,transcriptional repressor
BSU_14850,ftsW,"SEDS family peptidoglycan glycosyltransferase,cell division protein",cell division,SEDS family peptidoglycan glycosyltransferase
BSU_27050,levF,"fructose-specific permease of the [wiki|phosphotransferase systems|phosphotransferase system],EIIC of the [[category|SW.1.2.2|PTS]]",fructose uptake and phosphorylation,fructose-specific [[category|SW.1.2.2|PTS]]
BSU_29760,brxC,"monothiol bacilliredoxin,general stress protein",removal of bacillithiol from oxidized cytosolic proteins,monothiol bacilliredoxin
BSU_08710,gsaB,"glutamate-1-semialdehyde aminotransferase,required for [[protein|3054CD45713BBD69C2A528DE24AF6AF37175FD9D]] modification",biosynthesis of heme,modification of [[protein|3054CD45713BBD69C2A528DE24AF6AF37175FD9D]]
BSU_35260,ftsE,"[wiki|ABC transporter ](ATP-binding protein) ([[protein|8BF7EB539B53D75BD30BD30ABF27106D6A0B030B]]-[[protein|E22D0F0AC56DC95AFC02E7F55FCD5FAA44B6B490]]),required for [[protein|CwlO ]]activity (cell elongation) and for proper activation of [[protein|Spo0A ]]and initiation of [wiki|sporulation]",control of [wiki|cell wall synthesis],[wiki|ABC transporter ](ATP-binding protein)
BSU_17400,ymaB,"putative [wiki|Nudix hydrolase],has RNA pyrophosphohydrolase activity",unknown,unknown
BSU_13700,clpE,"AAA unfoldase,ATPase subunit of the [[protein|8C5B14FE5E03427F9A598C75D4081FA0D6696299]]-[[protein|CB06A70DE7462CEB7AF5D8C28943C878DD56DE1A]] protease (class III stress gene)",protein degradation,AAA unfoldase
BSU_28000,minC,"cell-division inhibitor (septum placement),destabilizes Z ring placement",septum placement,cell-division inhibitor
BSU_36260,tkmA,"transmembrane modulator of [[protein|6100EA37592A2C31BC3DE79AD7948A8D6F65F6E1]] activity,activates [[protein|6100EA37592A2C31BC3DE79AD7948A8D6F65F6E1]] autophosphorylation and substrate phosphorylation",control of protein tyrosine phosphorylation,modulator of [[protein|6100EA37592A2C31BC3DE79AD7948A8D6F65F6E1]] activity
BSU_23220,scpA,"part of the [wiki|condensin] complex,chromosomal origin condensation and segregation",segregation of replication origins,DNA segregation and condensation protein
BSU_27730,ruvB,"Holliday junction DNA helicase,part of the [[protein|7EBC90946E7167A3B0212193873855CAE0EFF7D4]]-[[protein|8DFD57B73FE5D49BB547E050182A96CE6E8BFF77]] branch migration translocase and of the [[protein|7EBC90946E7167A3B0212193873855CAE0EFF7D4]]-[[protein|8DFD57B73FE5D49BB547E050182A96CE6E8BFF77]]-[[protein|ED1E2011C7E43A8B7E9FD9A471BC11B9DEA73177]] resolvasome",[wiki|DNA repair/ recombination],Holliday junction DNA helicase
BSU_04870,nicK,"DNA relaxase,similar to transposon protein",conjugation of ICE BS1,DNA relaxase
BSU_07000,rhiN,"galacturonyl hydrolase,catalyses intracellular degradation of disaccharides generated by [[protein|217BAA94FB926CDA7CA8800BC6B08371792CEE31]]",intracellular degradation of disaccharides generated by [[protein|217BAA94FB926CDA7CA8800BC6B08371792CEE31]],galacturonyl hydrolase
BSU_36400,flhO,"flagellar basal-body rod protein,required for hook assembly",motility and chemotaxis,flagellar basal-body rod protein
BSU_06910,cotJC,"polypeptide composition of the spore coat,may protect against oxidative stress",polypeptide composition of the spore coat,may protect against oxidative stress
BSU_24660,spoIIIL,"component of the [[protein|SpoIIIA]]-[[protein|3282D2C25468776881778006F182FCF322C4821D]] trans-envelope complex,required for the activation of [[protein|5F24258282F3166B7696B9E9ABC1706E4D06C944]]",activation of [[protein|5F24258282F3166B7696B9E9ABC1706E4D06C944]],component of the [[protein|SpoIIIA]]-[[protein|3282D2C25468776881778006F182FCF322C4821D]] trans-envelope complex
BSU_15890,plsX,"acyl-acyl carrier protein (ACP):phosphate acyltransferase,catalyzes the synthesis of the intermediate fatty acyl-phosphate (acyl-PO<sub>4</sub>)",biosynthesis of phospholipids,acyl-acyl carrier protein (ACP):phosphate acyltransferase
BSU_28240,ddcA,"DNA damage checkpoint antagonist,prevents [[protein|7BF591DCDC9635C605D76135481A8A9DB63EE861]]-dependent cell elongation",control of [[protein|7BF591DCDC9635C605D76135481A8A9DB63EE861]] activity,DNA damage checkpoint antagonist
BSU_00460,ispE,"4-diphosphocytidyl-2-C-methyl-D-erythritol kinase,fourth step in the MEP pathway of isoprenoid biosynthesis",MEP pathway of isoprenoid biosynthesis,4-diphosphocytidyl-2-C-methyl-D-erythritol kinase
BSU_26280,yqaK,"similar to phage-related protein,skin element",unknown,unknown
BSU_12150,yjgB,"general stress protein,survival of ethanol  stress",survival of ethanol  stress,unknown
BSU_14130,darB,"c-di-AMP binding protein,stimulates (p)ppGpp accumulation under conditions of potassium starvation",control of [[protein|CEE73284EFC0DBE8870CE0B474922DED79475A57]] activity,trigger of the stringent response under conditions of potassium starvation
BSU_37830,spsJ,"dTDP -glucose-4,6-dehydratase",rhamnose biosynthesis,spore crust polysaccharide synthesis
BSU_40540,hypR,"[wiki|MarR family|MarR/DUF24 family] transcription regulator,positively controls the nitroreductase gene [[gene|9DF5999568760E016ECA988385A1FA61A257D486]] in response to disulfide stress",control of the nitroreductase gene [[gene|9DF5999568760E016ECA988385A1FA61A257D486]] in response to disulfide stress (diamide,NaOCl)
BSU_23210,scpB,"part of the [wiki|condensin] complex,chromosomal origin condensation and segregation",segregation of replication origins,DNA segregation and condensation protein
BSU_32960,yusY/1,"similar to oligoendopeptidase,inactive pseudogene",unknown,unknown
BSU_11730,cotO,"spore coat morphogenetic protein,controls assembly of the coat layers and coat surface topography",controls assembly of the coat layers and coat surface topography,spore coat morphogenetic protein
BSU_18510,yoxC,"general stress protein,survival of ethanol  stress",survival of ethanol  stress,unknown
BSU_31090,ktrA,"high affinity potassium  channel [[protein|92D0275E0768780F782F4B3724BC5181E436B6B1]]-[[protein|A287B9771A56D03ADCA603C1969CBF03DCB10E95]],peripheric membrane component",potassium uptake,high affinity potassium channel [[protein|92D0275E0768780F782F4B3724BC5181E436B6B1]]-[[protein|A287B9771A56D03ADCA603C1969CBF03DCB10E95]]
BSU_19430,cdaS,"sporulation-specific diadenylate cyclase,synthesis of c-di-AMP",synthesis of c-di-AMP,sporulation-specific diadenylate cyclase
BSU_01190,rplB,"ribosomal protein uL2,required for assembly of RplP into the 50S subunit of the ribosome",translation,ribosomal protein L2 (uL2)
BSU_16500,tsf,"elongation factor Ts,nucleotide exchange factor for EF-Tu",translation,elongation factor Ts
BSU_29450,argG,"argininosuccinate synthase,reversible",biosynthesis of arginine,argininosuccinate synthase
BSU_14580,pdhA,"pyruvate dehydrogenase (E1 alpha subunit),required for Z-ring assembly in a pyruvate-dependent manner",links glycolysis and TCA cycle,pyruvate dehydrogenase (E1 alpha subunit)
BSU_25670,yqeH,"assembly/ stability of the 30S subunit of the ribosome,assembly of the 70S ribosome",ribosome assembly,GTPase
BSU_31960,dhbF,"involved in 2,3-dihydroxybenzoate biosynthesis",biosynthesis of the siderophore bacillibactin,unknown
BSU_00170,yaaI,"general stress protein,similar to isochorismatase",survival of ethanol stress,unknown
BSU_11680,thiS,"sulfur carrier protein,hydroxyethylthiazole phosphate biosynthesis",biosynthesis of thiamine,sulfur carrier protein
BSU_04300,ydaM,"general stress protein,synthesis of extracellular polysaccharide",synthesis of extracellular polysaccharide,unknown
BSU_27670,spoVB,"MurJ family lipid II flippase,spore cortex peptidoglycan synthesis",spore cortex peptidoglycan synthesis,sporulation-specific MurJ family lipid II flippase
BSU_14400,fruA,"fructose-specific permease of the [wiki|phosphotransferase systems|phosphotransferase system],EIIABC of the [[category|SW.1.2.2|PTS]]",fructose uptake and phosphorylation,fructose-specific [[category|SW.1.2.2|PTS]]
BSU_16390,flhA,"part of the flagellar type III export apparatus  (flagellar Type III secretion system),part of the CORE complex required for flagellum and nanotube assembly",flagellum and nanotube assembly,part of the type III CORE export apparatus
BSU_22080,ypwA,"carboxypeptidase,metalloprotease",unknown,M32 carboxypeptidase
BSU_24760,rsbRD,"probably part of the [wiki|stressosome],negative regulator of [[protein|580011DE5DC40EC9E7E0512791D328FAA010DCB8]] activity",control of [[protein|580011DE5DC40EC9E7E0512791D328FAA010DCB8]] activity,[[protein|621357D1FB6AC1B0499732EFE226F982B26CE34E]] paralog
BSU_04460,dctR,"two-component response regulator,regulation of the [[gene|9A96572B101358768EB20EE9438BE0E1424A4130]]-[[gene|97C34F6FA0B89D93369150E9A8AB3579332B07BC]]-[[gene|dctP ]]operon",regulation of the [[gene|9A96572B101358768EB20EE9438BE0E1424A4130]]-[[gene|97C34F6FA0B89D93369150E9A8AB3579332B07BC]]-[[gene|dctP ]]operon,two-component response regulator
BSU_23130,resC,"part of heam translocase,required for cytochrome c synthesis",cytochrome c biogenesis,part of the [[protein|495721E4B8BF6FEC01E62E86339560F90776EED1]]-[[protein|97FE84CF968596AC39D19EE2E43DA625147FD702]] haem translocase
BSU_07280,yfnG,"similar to CDP-glucose 4,6-dehydratase",unknown,unknown
BSU_16370,fliR,"part of the flagellar type III export apparatus  (flagellar Type III secretion system),part of the CORE complex required for flagellum and nanotube assembly",flagellum and nanotube assembly,part of the type III CORE export apparatus
BSU_27300,yrrS,"sporulation protein,likely involved in sidewall synthesis during cell growth",unknown,unknown
BSU_03960,ycnK,"copper-responsive transcription repressor of  the [[gene|98D807FBB847BF731B5C236557C8F70347279CE0]]-[[gene|D0F553E661A35C69380ACB01D9A96FC6C5088470]]-[[gene|1B7F59F954A1F20F75F5D4953F84CE58171741DE]] operon,[wiki|DeoR family]",regulation of copper uptake,transcription repressor
BSU_33400,yvgN,"glyoxal reductase,general stress protein",unknown,glyoxal reductase
BSU_03430,nucA,"membrane-associated nuclease,catalyzes DNA cleavage during transformation",genetic transformation,DNA uptake
BSU_25840,phrE,"response regulator aspartate phosphatase (RapE) regulator,control of the phosphorelay",control of sporulation initiation,phosphatase (RapE) regulator
BSU_33090,liaS,"two-component sensor kinase/phosphatase,response to bacitracin",control of [[protein|49E70A20CC05DBE485953C0AE34E634EFB33C3B2]] activity in response to bacitracin,two-component sensor kinase
BSU_40030,yxaB,"general stress protein,similar to pyruvyl transferase",biofilm formation,survival of salt and ethanol stress
BSU_19620,ldcB,"LD-carboxypeptidase,releases D-Ala from the cell wall",cell wall synthesis,LD-carboxypeptidase
BSU_04450,dctS,"two-component sensor kinase,regulation of the [[gene|9A96572B101358768EB20EE9438BE0E1424A4130]]-[[gene|97C34F6FA0B89D93369150E9A8AB3579332B07BC]]-[[gene|107DDCC7B6AA2D7CB02E53F043A93CF05C679081]] operon",regulation of the [[gene|9A96572B101358768EB20EE9438BE0E1424A4130]]-[[gene|97C34F6FA0B89D93369150E9A8AB3579332B07BC]]-[[gene|107DDCC7B6AA2D7CB02E53F043A93CF05C679081]] operon,two-component sensor kinase
BSU_02060,ybxG,"amino acid permease,minor threonine and serine transporter",uptake of threonine and serine,amino acid permease
BSU_13230,thiV,"thiamine [wiki|ECF transporter] (membrane protein,thiamine-specific S protein)",thiamine uptake,thiamine [wiki|ECF transporter] (membrane protein
BSU_09720,bmrD,"multidrug [wiki|ABC transporter ](ATP-binding protein),also involved in the signalling pathway to activate [[protein|KinA ]]at the onset of [wiki|sporulation]",multiple antibiotic resistance,multidrug [wiki|ABC transporter ](ATP-binding protein)
BSU_30430,ytrD,"[wiki|ABC transporter] (hydrophobic protein,probably channel protein)",unknown,[wiki|ABC transporter] (hydrophobic protein
BSU_19780,cgeA,"spore crust protein,maturation of the outermost layer of the spore",maturation of the outermost layer of the spore,spore crust protein
BSU_24390,spoIIIAE,"component of the [[protein|SpoIIIA]]-[[protein|3282D2C25468776881778006F182FCF322C4821D]] type III secretion system residing in the forespore membrane,required for [[protein|5F24258282F3166B7696B9E9ABC1706E4D06C944]] activation",activation of [[protein|5F24258282F3166B7696B9E9ABC1706E4D06C944]],component of a type III secretion system
BSU_34120,ganB,"endo-1,4-beta-galactosidase",galactan utilization,endo-1
BSU_24020,bmrR,"transcriptional activator ([wiki|MerR family]) of the [[gene|ADBC0F194B601F736492E54011E0A68351B5BD39]]-[[gene|9F2C1C9A9DB7AA4CBE72D7C94932B69C8EF0565C]] operon,general stress protein",regulation of multidrug resistance,transcriptional activator ([wiki|MerR family])
BSU_33470,bdbC,"thiol-disulfide oxidoreductase,required for the formation of thiol disulfide bonds in several proteins",oxidative folding of proteins,thiol-disulfide oxidoreductase
BSU_00330,yabA,"inhibitor of [[protein|6740108089F13116F200C15F35C2E7561E990FEB]] oligomerization,tethers [[protein|DnaA ]]to the polymerase-clamp protein [[protein|83E05071DEC874248D3E96B8F3A093C65939B314]]",positioning of [[protein|6740108089F13116F200C15F35C2E7561E990FEB]],negative regulator of [[category|SW.3.1.1|replication]] initiation
BSU_13500,ktrD,"glutamate-controlled potassium channel [[protein|15F9BF08762D28CBCD3D9748EFBD29B0D6FD7623]]-[[protein|A0952B75E5BD0D09B0F4C257822428640998558B]],integral membrane subunit",potassium uptake,glutamate-controlled potassium channel [[protein|15F9BF08762D28CBCD3D9748EFBD29B0D6FD7623]]-[[protein|A0952B75E5BD0D09B0F4C257822428640998558B]]
BSU_04910,conB,"part of the ICEBs1 conjugation machinery,required for the localization of ConE to the membrane",conjugative transfer of ICEBs1,part of the ICEBs1 conjugation machinery
BSU_03910,gabD,"succinate-semialdehyde dehydrogenase (NADP),general stress protein",utilization of gamma-amino butyric acid,succinate-semialdehyde dehydrogenase (NADP)
BSU_21890,ypgQ,"Mn<sup>2+</sup>-dependent pyrophosphohydrolase,hydrolyzes (deoxy)ribonucleoside triphosphate [(d)NTP] to (deoxy)ribonucleoside monophosphate and pyrophosphate",degradation of excessive or abnormal nucleotides,Mn<sup>2+</sup>-dependent pyrophosphohydrolase
BSU_25100,zur,"transcriptional repressor,regulates zinc homeostasis",regulation of zinc homeostasis([[gene|75DB07A2704FEC2932BD0CDD24E2B3454E9551E1]],[[gene|D33A144568CAF32FFE4A2A46BE67573DB66FC1A1]]-[[gene|6B5D4FD32CCE72C99B915B0F1EB4B8E8D42A04B3]]-[[gene|EE212953BC83BD6D69BF769D6E917F4F954BE1E2]])
BSU_16790,tepA,"orphan [[protein|CB06A70DE7462CEB7AF5D8C28943C878DD56DE1A]]-like [wiki|germination] protease,contributes to SASP degradation",degradation of SASPs,[wiki|germination] protease
BSU_28370,rph,"RNase PH,3-5 exoribonuclease",3-5 exoribonuclease,RNase PH (EC 2.7.7.56)
BSU_05010,rapI,"response regulator aspartate phosphatase,antagonist of [[protein|DD1C8F3A4809785BD6A6047D39B42AB2C605E161]]",control of transfer of the mobile genetic element ICEBs1,response regulator aspartate phosphatase
BSU_17920,ynzD,"Spo0A-P phosphatase,control of the phosphorelay",control of sporulation initiation,Spo0A-P phosphatase
BSU_08960,yhbF,"bactofilin,required for flagellar hook- and filament assembly",assembly of the flagellar hook and filament,bactofilin
BSU_31100,ktrB,"high affinity potassium channel [[protein|92D0275E0768780F782F4B3724BC5181E436B6B1]]-[[protein|A287B9771A56D03ADCA603C1969CBF03DCB10E95]],integral membrane subunit",potassium uptake,high affinity potassium channel [[protein|92D0275E0768780F782F4B3724BC5181E436B6B1]]-[[protein|A287B9771A56D03ADCA603C1969CBF03DCB10E95]]
BSU_27750,bofC,"general stress protein,controls processing of pro-[[protein|24F7FD5C7C3A68BB2760ABB8CBD8FBD65E5FF7D4]] by [[protein|8801B095C2CE36F3E0B9DBBF489FFB217087DC0A]]",control of processing of pro-[[protein|24F7FD5C7C3A68BB2760ABB8CBD8FBD65E5FF7D4]] by [[protein|8801B095C2CE36F3E0B9DBBF489FFB217087DC0A]],forespore regulator of the [[protein|24F7FD5C7C3A68BB2760ABB8CBD8FBD65E5FF7D4|sigma-K]] checkpoint
BSU_07890,yfkI,"general stress protein,required for protection against paraquat stress",protection against paraquat stress,unknown
BSU_16360,fliQ,"part of the flagellar type III export apparatus  (flagellar Type III secretion system),part of the CORE complex required for flagellum and nanotube assembly",flagellum and nanotube assembly,part of the type III CORE export apparatus
BSU_27480,recD2,"5'-3' DNA helicase replication fork progression,crucial for the [[protein|A44D4677FB70BE8F554BF1001A500F817C7DA95F]]-dependent acquisition of homologous genes from related species by natural transformation",replication fork progression,control of [[protein|A44D4677FB70BE8F554BF1001A500F817C7DA95F]] activity
BSU_01560,kbaA,"activation of the [[protein|2111AC1AE49D1006E10DC127BF5B7A0327DE94A7]]-dependent pathway to [wiki|sporulation],control of the [wiki|phosphorelay]",control of [wiki|sporulation ]initiation,effector of [[protein|KinB ]]activity
BSU_33010,cssR,"two-component response regulator ([wiki|OmpR family]),control of cellular responses to [wiki|protein secretion] stress",control of cellular responses to protein secretion stress,two-component response regulator ([wiki|OmpR family])
BSU_27220,forC2,"formate:menadione oxidoreductase (with [[protein|364BC3B51D8DF152C2DF31046D4F80595C75884B]]),catalytic subunit",unknown,formate:menadione oxidoreductase
BSU_31300,yugS,"spore membrane protein,similar to magnesium exporter",unknown,unknown
BSU_02730,natK,"two-component sensor kinase,regulation of the [[gene|B019FD0CB6F76C03DA5E76ABD1B324BA5E1A6936]]-[[gene|A8ADA02BBB549866DE330040CF6D06ECC3B00099]] operon",regulation of the [[gene|B019FD0CB6F76C03DA5E76ABD1B324BA5E1A6936]]-[[gene|A8ADA02BBB549866DE330040CF6D06ECC3B00099]] operon,two-component sensor kinase
BSU_31280,yugU,"general stress protein,survival of ethanol and paraquat stresses",survival of stress conditions,unknown
BSU_07100,lplA,"lipoprotein,putative [wiki|ABC transporter] (solute binding protein)",unknown,unknown
BSU_33970,araR,"transcriptional repressor ([wiki|GntR family],[wiki|LacI family]) of the arabinose utilization genes",regulation of arabinose utilization,transcriptional repressor ([wiki|GntR family]
BSU_13640,spo0E,"Spo0A-P phosphatase,control of the phosphorelay",initiation of sporulation,Spo0A-P phosphatase
BSU_18819,yozU,"unknown,putative pseudogene",unknown,unknown
BSU_29580,thiI,"sulfuryl transferase,biosynthesis of 4-thiouridine in tRNA",biosynthesis of 4-thiouridine in tRNA,sulfuryl transferase
BSU_27880,nifS,"cysteine desulfurase,required for NAD biosynthesis","NAD biosynthesis",cysteine desulfurase
BSU_06076,ydzW/3,"putative phosphomannomutase,internal part of YdzW",unknown,unknown
BSU_35319,smiA,"swarming motility inhibitor A,adaptor protein for [[protein|FF15BE26BCC78EC1301C58A51AF0A519D7BE9ADC]]-mediated degradation of [[protein|5D479874B43F521DB52EDC2C27CDE4967F22DE47]]",control of swarming motility,adaptor protein for [[protein|FF15BE26BCC78EC1301C58A51AF0A519D7BE9ADC]]-mediated degradation of [[protein|5D479874B43F521DB52EDC2C27CDE4967F22DE47]]
BSU_36600,mta,"transcriptional activator ([wiki|MerR family])  of multidrug-efflux transporter genes,activates [[gene|11997FE6BA6947E7C7E3DBE20B49C9FB758262B2]] expression",regulation of multidrug-efflux transporter genes,transcriptional activator ([wiki|MerR family])
BSU_16799,ylzJ,"germination protein,required for TepA activity",control of TepA activity,germination protein
BSU_29190,pfkA,"phosphofructokinase,glycolytic enzyme",catabolic enzyme in glycolysis,6-phosphofructokinase
BSU_25370,yqfB,"resistence protein (against sublancin),accessory role in resistance to cefuroxime",resistance against sublancin,resistence protein (against sublancin)
BSU_17050,mutL,"sequence-unspecific endonuclease,DNA mismatch repair",DNA repair,DNA mismatch repair protein
BSU_06100,ydiS,"component of the BsuM DNA restriction system,similar to 5-methylcytosine-specific restriction enzyme",BsuM DNA restriction,unknown
BSU_31290,yugT,"similar to exo-alpha-1,4-glucosidase",unknown,unknown
BSU_26259,yqzO,"unknown,Skin element",unknown,unknown
BSU_36800,atpC,"ATP synthase,part of the F1 complex (subunit epsilon)",ATP synthesis,ATP synthase (subunit epsilon)
BSU_07110,lplB,"transmembrane lipoprotein,putative [wiki|ABC transporter] (permease)",unknown,unknown
BSU_31610,mrpB,"Na<sup>+</sup>/H<sup>+</sup> antiporter subunit,multiple resistance and pH homeostasis",sodium export,Na<sup>+</sup>/H<sup>+</sup> antiporter subunit
BSU_36750,spoIID,"cell wall hydrolase (lytic transglycosylase),required for complete dissolution of the asymmetric septum",dissolution of the septal cell wall,lytic transglycosylase
BSU_24490,yqhQ,"general stress protein,survival of stress conditions",survival of stress conditions,unknown
BSU_26270,yqaL,"unknown,skin element",unknown,unknown
BSU_28980,dnaI,"[wiki|primosome] component (helicase loader),part of the [wiki|replisome]",[[category|SW.3.1.1]],[wiki|primosome] component (helicase loader)
BSU_04250,lrpC,"sequence-independent DNA-binding and DNA-bending protein (Lrp family),facilitates the formation of higher order protein-DNA complexes",DNA repair/ recombination,DNA-binding and -bending protein
BSU_04710,rsbV,"antagonist of [[protein|5AF5F199C5D92E13DE1C56E28948A557E3954CBF]],anti-anti-[[protein|580011DE5DC40EC9E7E0512791D328FAA010DCB8]]",control of [[protein|SigB ]]activity,anti-anti-[[protein|580011DE5DC40EC9E7E0512791D328FAA010DCB8]]
BSU_34690,psdB,"[wiki|ABC transporter] (permease) for the export of lipid II-binding lantibiotics,such as nisin and gallidermin",export of toxic peptides,[wiki|ABC transporter] (permease)
BSU_05490,mhqO,"hydroquinone-specific dioxygenase,confers resistence to methyl-hydroxyquinone",resistence to methyl-hydroxyquinone,hydroquinone-specific dioxygenase
BSU_29530,sppA,"protease,promotes resistance to antimicrobial peptides",resistance to lantibiotics,protease
BSU_33950,cggR,"repressor of the glycolytic [[gene|EB6512177418B1601C6641FB2DEE99C2CD10E671]] operon,[wiki|DeoR family]",transcriptional regulator,central glycolytic genes regulator
BSU_24010,bmr,"general stress protein,multidrug-efflux transporter",multidrug resistance,multidrug-efflux transporter
BSU_04310,ydaN,"general stress protein,synthesis of extracellular polysaccharide",synthesis of extracellular polysaccharide,unknown
BSU_37470,phrF,"response regulator aspartate phosphatase (RapF) regulator,antagonizes the RapF-ComA interaction",control of ComA activity,phosphatase (RapF) regulator
BSU_36290,phoC,"[wiki|HAD superfamily] sugar phosphate phosphatase,dephosphorylation of N-acetyl-glucosamine 6-phosphate",detoxification of sugar phosphates,sugar phosphate phosphatase
BSU_01750,cdaA,"diadenylate cyclase,synthesis of c-di-AMP in vegetative cells",synthesis of c-di-AMP,diadenylate cyclase
BSU_18130,bglC,"endo-1,4-beta-glucanase",beta-1,4-glucan degradation
BSU_23620,yqkF,"NADPH-dependent 4-Hydroxy-2,3-trans-nonenal reductase",unknown,"NADPH-dependent 4-Hydroxy-2"
BSU_31390,yugI,"similar to the C-terminal domain of <i>E. coli</i> polyribonucleotide phosphorylase and to four repeated domains at the N-terminus of <i>E. coli</i> ribosomal protein S1,has an RNA-binding surface",unknown,GSP13
BSU_01530,cwlD,"N-acetylmuramoyl-L-alanine amidase,spore cortex peptidoglycan synthesis",spore cortex peptidoglycan synthesis,N-acetylmuramoyl-L-alanine amidase
BSU_36340,ywpE,"similar to sortase,but lacking the membrane anchor",unknown,unknown
BSU_06073,ydzW/1,"putative phosphomannomutase,C-terminal part of YdzW",unknown,unknown
BSU_27000,adhR,"transcriptional activator ([wiki|MerR family]) of [[gene|352544F3E79943E94E28A6EB5F4C543B529A02D1]]-[[gene|0960F1856A81237DBA6AF1FAF36172A63ECBE2D5]],responsive to formaldehyde and methylglyoxal",regulation of the protective response to formaldehyde and methylglyoxal,transcriptional activator ([wiki|MerR family])
BSU_27950,prp,"protein cysteine protease,required for N-terminal cleavage of [[protein|4626C659D6F1A81CCC94030F1CBAF7FEC3DE19CA|ribosomal protein L27]]",maturation of [[protein|4626C659D6F1A81CCC94030F1CBAF7FEC3DE19CA|ribosomal protein L27]],[[protein|4626C659D6F1A81CCC94030F1CBAF7FEC3DE19CA|ribosomal protein L27]] cysteine protease
BSU_31660,mrpG,"Na<sup>+</sup>/H<sup>+</sup> antiporter subunit,multiple resistance and pH homeostasis",sodium export,Na<sup>+</sup>/H<sup>+</sup> antiporter subunit
BSU_08510,yfhF,"general stress protein,similar to nucleoside-diphosphate sugar epimerase",survival of ethonol stress and at low temperatures,unknown
BSU_23760,coaA,"type I pantothenate kinase,major enzyme",biosynthesis of coenzyme A,pantothenate kinase
BSU_25240,yqfL,"Modulator of [[protein|2234D81F8F9B92EAF1CF6F73BEC92D4DE54E2636]] activity,similar to phosphoenolpyruvate synthetase regulatory protein",inhibits [[protein|2234D81F8F9B92EAF1CF6F73BEC92D4DE54E2636]] activity,modulator of [[protein|2234D81F8F9B92EAF1CF6F73BEC92D4DE54E2636]] activity
BSU_25810,arsR,"transcriptional regulator of the [wiki|ArsR family],arsenic resistance operon repressor",regulation of As (III) efflux,transcription repressor ([wiki|ArsR family])
BSU_13410,ykoV,"DNA-end-binding protein Ku,non-homologous end joining DNA repair",non-homologous end joining DNA repair,repair of gapped DNA substrates
BSU_38120,rodA,"SEDS family peptidoglycan glycosyltransferase,part of the [wiki|elongasome] for lateral [wiki|cell wall synthesis] and control of cell diameter",control of cell shape and elongation,SEDS family peptidoglycan glycosyltransferase
BSU_39000,hbuT,"sporulation protein,transporter for 3-hydroxybutyrate",3-hydroxybutyrate utilization,transporter for 3-hydroxybutyrate
BSU_03590,tcyC,"cystine and diaminopimelate [wiki|ABC transporter],ATP-binding protein",cystine and diaminopimelate uptake,cystine and diaminopimelate [wiki|ABC transporter]
BSU_14740,ylaD,"redox sensor,control of sigma factor [[protein|544344B61A804F367BB726976E0C87B61998490A]]",control of sigma factor [[protein|544344B61A804F367BB726976E0C87B61998490A]],anti-Sigma ([[protein|544344B61A804F367BB726976E0C87B61998490A]])
BSU_10710,gerPB,"spore germination protein,facilitates access of nutrient germinants to their cognate germinant receptors in spores’ inner membrane",germination,unknown
BSU_07450,yfmJ,"similar to predicted oxidoreductase,Zn-dependent and NAD(P)-binding",unknown,unknown
BSU_38920,pepT,"peptidase T (tripeptidase),zinc-dependent",peptide degradation,peptidase T (tripeptidase)
BSU_07840,yfkN,"cell wall-anchored 3'5' cyclic dinucleotide 3' phosphodiesterase,degrades c-di-AMP",degradation of c-di-AMP,cell wall-anchored 3'5' cyclic dinucleotide 3′ phosphodiesterase
BSU_38970,yxjF,"sporulation protein,3-hydroxybutyrate dehydrogenase",3-hydroxybutyrate utilization,3-hydroxybutyrate dehydrogenase
BSU_00680,hprT,"trigger enzyme,hypoxanthine phosphoribosyltransferase and part of a transcription activator",purine salvage and interconversion,control of [[gene|4E7B9426CED372AA8A321A147116A3A589FBF20C]] expression
BSU_13820,ykvT,"similar to spore cortex-lytic enzyme,putative cell wall hydrolase",unknown,unknown
BSU_31980,dhbE,"2,3-dihydroxybenzoate-AMP ligase (enterobactin synthetase component E)",biosynthesis of the siderophore bacillibactin,2
BSU_13930,splB,"spore photoproduct lyase,radical SAM enzyme",protection of spore DNA against photodamage,spore photoproduct lyase
BSU_28620,rnhC,"RNase HIII,endoribonuclease",endonucleolytic cleavage of RNA in RNA-DNA hybrid molecules,processing of R-loops
BSU_31050,gbsB,"choline dehydrogenase (FAD-dependent),glycine betaine synthesis",osmoprotection,choline dehydrogenase (FAD-dependent)
BSU_26559,yrzN,"unknown,putative pseudogene",unknown,unknown
