locus,name,description,function,product,names,outlinks.uniprot,outlinks.subtilist
BSU_20780,yopS,similar to transcription regulator (Xre family),unknown,unknown,yopS,O34766,gene_detail+BG13652
new_2779386_2779461_c,S1028,"new RNA feature, intergenic region
",,intergenic region,S1028,,
BSU_26780,bstE,bacillithiol S-transferase,unknown,bacillithiol S-transferase,bstE;yrdA,O07079,gene_detail+BG12281
BSU_22770,mtrB,"tryptophan operon RNA-binding attenuation protein (TRAP), controls RNA switch in front of genes involved in biosynthesis and acquisition of tryptophan",regulation of tryptophan biosynthesis(and translation) attenuation in the trp operon;repression of the folate operon,tryptophan operon RNA-binding attenuation protein (TRAP),mtrB,P19466,gene_detail BG10278
BSU_05520,ydzH,unknown,unknown,unknown,ydzH,O31496,gene_detail BG12810
BSU_09410,phoA,alkaline phosphatase A,aquisition of phosphate upon phosphate starvation,alkaline phosphatase A,phoA;phoAIV,P19406,gene_detail BG10183
BSU_25320,yqfG,"RNase M16, endoribonuclease, required for the maturation of the 3' end of 16S rRNA",16S rRNA maturation,RNase M16,yqfG,P46347,gene_detail BG11656
BSU_01845,ybcC,unknown,unknown,unknown,ybcC,O34688,gene_detail+BG12706
BSU_28790,araB,L-ribulokinase,arabinose utilization,L-ribulokinase,araB,P94524,gene_detail+BG11905
BSU_tRNA_76,trnSL-Thr1,,translation,transfer RNA-Thr,trnSL-Thr1,,gene_detail+BG00110
BSU_19330,sodF,superoxide dismutase,detoxification of oxygen radicals,superoxide dismutase,sodF,O35023,gene_detail+BG12676
BSU_02330,ybfQ,unknown,unknown,unknown,ybfQ,O31457,gene_detail+BG12745
BSU_31080,bslA,"bacterial hydrophobin, forms water-repellent surface layer of the biofilm, required for sliding, inhibitor of [[protein|B29CAD04FB89ACC482EFCD29D50EDDA19145CAA2]] autophosphorylation, and subsequently of entry into [SW|sporulation]","[SW|biofilm formation], control of entry into [SW|sporulation] via the [SW|phosphorelay]","biofilm surface layer, inhibitor of [[protein|B29CAD04FB89ACC482EFCD29D50EDDA19145CAA2]] autophosphorylation",bslA;yuaB;sivB,P71014,gene_detail BG12341
BSU_36690,rapB,"response regulator aspartate phosphatase, dephosphorylates Spo0F-P, control of the phosphorelay",control of sporulation initiation,response regulator aspartate phosphatase,rapB;spo0P;ywmE,P70962,gene_detail+BG11965
BSU_38600,licR,transcriptional activator of the [[gene|65FC7F4ED92F747DB7BC5672DCA2D2320A471134]]-[[gene|83A7C160B0301A2B51B65478D99ACB753D67AF74]]-[[gene|E8B6C8E722BEE866878CDD816B7828C132F94FCD]]-[[gene|84D8AA0AFBF46273F6B4198B49440D55470FEC0F]] operon,regulation of lichenan utilization,"transcriptional activator, [SW|PRD]-type",licR;celR,P46321,gene_detail+BG11346
BSU_misc_RNA_43,ldlU,annotated in RefSeq,,,,,
BSU_20010,yosT,unknown,unknown,unknown,yosT,O34775,gene_detail+BG13729
new_3830002_3830131_c,S1448,"new RNA feature, intergenic region
",,intergenic region,S1448,,
BSU_11809,yjcZ,unknown,unknown,unknown,yjcZ,C0H3Y8,
BSU_35360,hag,"flagellin protein, about 12,000 subunits make up one flagellum",[SW|motility and chemotaxis],flagellin protein,hag,P02968,gene_detail BG10655
BSU_05250,ydeM,similar to dehydratase,unknown,unknown,ydeM,P96670,gene_detail+BG12140
new_3154077_3154734_c,S1178,"new RNA feature, 3'UTR of ytdA
",,3'UTR of ytdA,S1178,,
BSU_tRNA_51,trnS-Leu2,,translation,transfer RNA-Leu,trnS-Leu2,,gene_detail+BG00070
BSU_06920,yesJ,unknown,unknown,unknown,yesJ;yeeN;yfxC;yfxD,O31513,gene_detail+BG11809
BSU_26410,yrkR,unknown,unknown,unknown,yrkR,P54445,gene_detail+BG11784
new_1655375_1655445,S573,"new RNA feature, intergenic region
",,intergenic region,S573,,
BSU_15340,ylmA,similar to [SW|ABC transporter] (ATP-binding protein),unknown,unknown,ylmA,O31723,gene_detail BG13370
new_2752064_2752166_c,S1015,"new RNA feature, 3'UTR of yraH
",,3'UTR of yraH,S1015,,
new_2930473_2930793_c,S1081,"new RNA feature, 5'UTR of pheS
",,5'UTR of pheS,S1081,,
BSU_misc_RNA_63,BSU_misc_RNA_63,,,,BSU_misc_RNA_63,,
BSU_31110,yubF,unknown,unknown,unknown,yubF,O32082,gene_detail+BG13955
new_3410379_3410465,S1278,"new RNA feature, 5'UTR of oxdC
",,5'UTR of oxdC,S1278,,
BSU_05910,tsaE,"protein kinase, required for threonyl carbamoyl adenosine (t6A) modification of tRNAs that pair with ANN codons in mRNA",control of tRNA modification,protein kinase involved in tRNA modification,tsaE;ydiB,O05515,gene_detail BG12199
BSU_18000,citB,"aconitase, trigger enzyme",TCA cycle,"aconitase, trigger enzyme",citB,P09339,gene_detail BG10478
BSU_29060,ytaG,dephospho-CoA kinase,synthesis of coenzyme A,dephospho-CoA kinase,ytaG;coaE,O34932,gene_detail+BG13824
BSU_04580,cshA,"DEAD-box RNA helicase, important for adaptation to low temperatures",RNA helicase,DEAD-box RNA helicase,cshA;ydbR,P96614,gene_detail BG12085
BSU_40300,rapG,"response regulator aspartate phosphatase, controls [[protein|D343D2096664A972026D911E7A17A35C7B1CD1C9]] activity",control of [[protein|D343D2096664A972026D911E7A17A35C7B1CD1C9]] activity,response regulator aspartate phosphatase,rapG;yycM,O32294,gene_detail+BG11466
BSU_03540,ycxB,unknown,unknown,unknown,ycxB,Q08793,gene_detail+BG10173
BSU_misc_RNA_11,Thi-box,Thi-box controlling thiC expression,control of thiC expression,Thi-box RNA,Thi-box;BSU_misc_RNA_11,,
BSU_20540,yoqR,unknown,unknown,unknown,yoqR,O31921,gene_detail+BG13676
new_2735457_2735681_c,S1004,"new RNA feature, intergenic region
",,intergenic region,S1004,,
BSU_20820,yopO,similar to transcription regulator (Xre family),unknown,unknown,yopO,O34791,gene_detail+BG13648
BSU_misc_RNA_10,BSU_misc_RNA_10,,,,BSU_misc_RNA_10,,
new_1940412_1941158_c,S675,"new RNA feature, independent transcript
",,independent transcript,S675,,
BSU_02090,ybxI,beta-lactamase,unknown,beta-lactamase,ybxI;ybdS,P54427,gene_detail BG11507
new_2450326_2450402_c,S891,"new RNA feature, intergenic region
",,intergenic region,S891,,
BSU_35630,lytB,modifier protein of major autolysin [[protein|6A21293823151C6980BF52B31A4B249A8440F2E1]],autolysis,modifier protein of major autolysin [[protein|6A21293823151C6980BF52B31A4B249A8440F2E1]],lytB;cwbA,Q02113,gene_detail+BG10406
BSU_06560,yerA,similar to adenine desaminase,unknown,unknown,yerA,O34909,gene_detail+BG12829
BSU_36079,BSU_36079,annotated in RefSeq,,,,,
new_4121082_4121165_c,S1541,"new RNA feature, 3'UTR of bglA
",,3'UTR of bglA,S1541,,
BSU_35250,ftsX,"[SW|ABC transporter] (membrane protein) ([[protein|8BF7EB539B53D75BD30BD30ABF27106D6A0B030B]]-[[protein|E22D0F0AC56DC95AFC02E7F55FCD5FAA44B6B490]]), required for [[protein|4F9D70C4BB4FCA809BEAC341C3F8122FB7FD8872]] activity (cell elongation) and for proper activation of [[protein|2C54FE2ADC82FF414D732018C90649D477A925AD]] and initiation of [SW|sporulation]",control of cell wall synthesis,[SW|ABC transporter] (membrane protein),ftsX,O34876,gene_detail+BG12591
BSU_35520,tagV,"phosphotransferase, attaches teichoic acid, teichuronic acid, or acidic capsular polysaccharide to cell wall peptidoglycan via phosphodiester linkage to N-acteylmuramic acid",transfer of anionic cell wall polymers from lipid-linked precursors to peptidoglycan,"phosphotransferase, responsible for attachment of anionic polymers to peptidoglycan",tagV;yvhJ,P96499,gene_detail+BG12449
BSU_13560,mtnK,5-methylthioribose kinase,methionine salvage,5-methylthioribose kinase,mtnK;ykrT,O31663,gene_detail BG13279
new_1884169_1884237,S628,"new RNA feature, 5'UTR of ynaE
",,5'UTR of ynaE,S628,,
BSU_17470,ynxB,unknown,unknown,unknown,ynxB;ynaA,P31844,gene_detail+BG11074
new_1929410_1929480,S669,"new RNA feature, intergenic region
",,intergenic region,S669,,
BSU_17640,yncD,spore coat alanine racemase,protection of the spore,spore coat alanine racemase,yncD;alrB,P94494,gene_detail+BG12267
BSU_12020,manA,"mannose-6-phosphate isomerase, required for proper cell wall synthesis",mannose utilization,mannose-6-phosphate isomerase,manA;yjdE,O31646,gene_detail+BG13177
BSU_28870,infC,translation initiation factor IF-3,translation,initiation factor IF-3,infC,P55872,gene_detail+BG11944
BSU_13040,hmp,"flavohemoglobin, involved in resistance to nitric oxide (NO), essential for long-term survival under anaerobic conditions",resistance to NO,flavohemoglobin,hmp;ykiA,P49852,gene_detail+BG11418
BSU_12420,yjoB,"AAA family, ATPase activity , similar to cell-division protein [[protein|4E7B9426CED372AA8A321A147116A3A589FBF20C]]",unknown,unknown,yjoB,O34703,gene_detail+BG13216
BSU_40160,yydH,"membrane protease, processing of modified [[protein|D66B9BFF79ADD8B0F9BFA3892FCF4597264CE9EE]]",control of [[protein|49E70A20CC05DBE485953C0AE34E634EFB33C3B2]]-[[protein|9A1871BD853254EEA8B4E78CA187F9315CBDF43D]] activity,membrane protease,yydH,Q45594,gene_detail+BG11481
BSU_misc_RNA_75,bsrF,annotated in RefSeq,,,,,
BSU_35690,ggaA,galactosamine-containing minor teichoic acid biosynthesis,biosynthesis of teichoic acid,unknown,ggaA,P46917,gene_detail+BG11367
new_1121267_1121506,S369,"new RNA feature, 5'UTR of yhjE
",,5'UTR of yhjE,S369,,
BSU_17040,mutS,DNA mismatch repair (mismatch recognition protein),DNA repair,mismatch recognition protein,mutS,P49849,gene_detail BG11403
new_4104900_4105513,S1535,"new RNA feature, 3'UTR of yxaI
",,3'UTR of yxaI,S1535,,
BSU_40760,yyaP,unknown,unknown,unknown,yyaP,P37508,gene_detail+BG10035
new_226436_226565,S80,"new RNA feature, 5'UTR of ybxG
",,5'UTR of ybxG,S80,,
BSU_23370,ypuA,unknown,unknown,unknown,ypuA,P31847,gene_detail+BG10511
BSU_18730,yoaS,unknown,unknown,unknown,yoaS,O31833,gene_detail+BG13489
BSU_04380,ydaT,"general stress protein, survival of ethanol  stress and low temperatures",survival of ethanol  stress and low temperatures,unknown,ydaT,P96595,gene_detail+BG12067
BSU_26000,yqbR,similar to phage-related protein,unknown,unknown,yqbR,P45933,gene_detail+BG11289
BSU_14568,BSU_14568,annotated in RefSeq,,,,,
BSU_30820,menD,"2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase / 2-oxoglutarate decarboxylase",biosynthesis of menaquinone,"2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase / 2-oxoglutarate decarboxylase",menD,P23970,gene_detail+BG10683
BSU_ncRNA_1,aimX,annotated in RefSeq,,,,,
new_2417904_2417983_c,S879,"new RNA feature, intergenic region
",,intergenic region,S879,,
BSU_26150,yqbD,similar to phage-related protein,unknown,unknown,yqbD,P45920,gene_detail+BG11275
new_3918519_3918628_c,S1473,"new RNA feature, 5'UTR of qoxA
",,5'UTR of qoxA,S1473,,
BSU_07300,yfnE,unknown,unknown,unknown,yfnE,O06483,gene_detail+BG12976
new_4062713_4063346,S1520,"new RNA feature, independent transcript
",,independent transcript,S1520,,
new_3681497_3681845_c,S1376,"new RNA feature, independent transcript
",,independent transcript,S1376,,
BSU_11910,yjcM,unknown,unknown,unknown,yjcM,O31635,gene_detail BG13166
BSU_30370,bceB,"primary bacitracin resistance determinant, [SW|ABC transporter] (permease), sensory component of the Bce regulatory & detoxification system, protects cell wall biosynthetic targets from inhibition by antimicrobial peptides",protection of cell wall biosynthetic targets from inhibition by antimicrobial peptides,[SW|ABC transporter] for target protection of cell wall synthesis,bceB;ytsD,O34741,gene_detail BG13921
new_2892550_2894991,S1070,"new RNA feature, independent transcript
",,independent transcript,S1070,,
BSU_02420,glnT,glutamine transporter (proton symport),glutamine uptake,glutamine transporter (proton symport),glnT;ybgH,O31464,gene_detail+BG12752
new_2841021_2841168,S1053,"new RNA feature, 5'UTR of yrzH
",,5'UTR of yrzH,S1053,,
new_3183217_3183608,S1184,"new RNA feature, 3'UTR of yuaE
",,3'UTR of yuaE,S1184,,
BSU_29740,ccpA,"Carbon catabolite control protein A, involved in glucose regulation of many genes; represses catabolic genes and activates genes involved in excretion of excess carbon",carbon catabolite repression (CCR),transcriptional regulator ([SW|LacI family]),ccpA;graR;alsA;amyR,P25144,gene_detail BG10376
new_600145_600228_c,S194,"new RNA feature, intergenic region
",,intergenic region,S194,,
new_3852070_3852185_c,S1453,"new RNA feature, 3'UTR of ywhD
",,3'UTR of ywhD,S1453,,
new_275603_275837,S95,"new RNA feature, 5'UTR of ycbJ
",,5'UTR of ycbJ,S95,,
BSU_18340,ppsA,plipastatin synthetase,production of the antibacterial compound plipastatin,plipastatin synthetase,ppsA,P39845,gene_detail+BG10970
BSU_31350,pgi,"glucose 6-phosphate isomerase, glycolytic / gluconeogenic enzyme",enzyme in glycolysis / gluconeogenesis,glucose-6-phosphate isomerase,pgi;yugL,P80860,gene_detail BG12366
BSU_39030,yxiT,unknown,unknown,unknown,yxiT,,gene_detail+BG11149
BSU_29390,snaA,"sulphur N-acetylase, required for the conversion of S-methyl-cysteine to cysteine",utilization of S-methyl-cysteine,sulphur N-acetylase,snaA;ytmI,O34350,gene_detail+BG13883
BSU_36830,atpA,"ATP synthase, part of the F1 complex (subunit alpha)",ATP synthesis,ATP synthase (subunit alpha),atpA,P37808,gene_detail BG10819
new_2525615_2525743_c,S916,"new RNA feature, 5'UTR of dxs
",,5'UTR of dxs,S916,,
BSU_13050,ykzH,unknown,unknown,unknown,ykzH,O31653,gene_detail+BG13336
BSU_17490,ynzG,unknown,unknown,unknown,ynzG,O31800,gene_detail+BG13470
BSU_04590,ydbS,resistence against antimicrobial compounds from B. amyloliquefaciens,confers resistence against antimicrobial compounds from B. amyloliquefaciens,unknown,ydbS,P96615,gene_detail+BG12086
BSU_02630,tatAD,component of the [[protein|E4395255CD43ACB611E0BA872182DF801662C366]]-[[protein|A58C9B9BB6574662A44AF0C7A94DFFE368B740E2]] twin-arginine translocase,TAT [SW|protein secretion],component of the twin-arginine translocation pathway,tatAD;yczB,O31467,gene_detail BG12777
BSU_36540,ywnJ,unknown,unknown,unknown,ywnJ,P71045,gene_detail+BG12487
BSU_20050,yosQ,similar to phage-related endodeoxyribonuclease,unknown,unknown,yosQ,O34479,gene_detail+BG13726
BSU_36330,ywpF,unknown,unknown,unknown,ywpF,P94588,gene_detail+BG12500
new_3224752_3224810,S1199,"new RNA feature, 5'UTR of yuzA
",,5'UTR of yuzA,S1199,,
BSU_18109,ynfCc,annotated in RefSeq,,,,,
BSU_03030,ycgB,unknown,unknown,unknown,ycgB,P55909,gene_detail+BG12000
BSU_29210,accD,acetyl-CoA carboxylase (beta subunit),"production of malonyl-CoA, the substrate for fatty acid biosynthesis",acetyl-CoA carboxylase (beta subunit)),accD;yttI,C0SP93,gene_detail BG13926
new_2599926_2600047_c,S948,"new RNA feature, 5'UTR of cccA
",,5'UTR of cccA,S948,,
BSU_07030,yesU,"carbohydrate-binding protein, binds fucosylated glycans",carbohydrate-binding protein,unknown,yesU,O31524,gene_detail+BG12855
BSU_10130,hemH,coproporphyrin ferrochelatase,biosynthesis of heme,coproporphyrin ferrochelatase,hemH;hemF,P32396,gene_detail BG10430
BSU_misc_RNA_3,BSU_misc_RNA_3,,,,BSU_misc_RNA_3,,
BSU_31260,mcpB,"membrane-bound chemotaxis receptor, methyl-accepting chemotaxis protein, receptor for asparagine, acts also as pH sensor, responds to increasing pH as an attractant signal","control of chemotaxis, sensing of alkaline environments",methyl-accepting chemotaxis protein,mcpB,P39215,gene_detail BG10859
BSU_11270,yjzD,unknown,unknown,unknown,yjzD,O34713,gene_detail+BG13224
BSU_07600,yflP,"unknown, putative binding protein, may control [[protein|7EBB09F8FF4C2FBE35B4689B15D89FEF3D58A227]] activity",unknown,unknown,yflP,O34439,gene_detail BG12950
BSU_39139,yxzJ,unknown,unknown,unknown,yxzJ,C0H3T5,
BSU_10930,yitB,phospho-adenylylsulfate sulfotransferase,sulfate reduction and activation,phospho-adenylylsulfate sulfotransferase,yitB,O06737,gene_detail+BG13107
BSU_31490,pbpD,penicillin-binding protein 4,bifunctional glucosyltransferase/ transpeptidase,penicillin-binding protein 4,pbpD,P40750,gene_detail BG10977
BSU_00370,abrB,transcriptional regulator of transition state genes,regulation of gene expression during the transition from growth to stationary phase,transcriptional regulator,abrB;cpsX;tolB,P08874,gene_detail BG10100
new_1075165_1075252_c,S355,"new RNA feature, 5'UTR of trpP
",,5'UTR of trpP,S355,,
new_2600049_2600188_c,S949,"new RNA feature, intergenic region
",,intergenic region,S949,,
BSU_15540,pyrD,dihydroorotic acid dehydrogenase (catalytic subunit),pyrimidine biosynthesis,dihydroorotic acid dehydrogenase (catalytic subunit),pyrD;pyrDI,P25996,gene_detail BG10718
BSU_24750,yqhB,"similar to magnesium exporter, general stress protein, required for protection against oxidative stress",protection against stress conditions,unknown,yqhB,P54505,gene_detail BG11695
BSU_12160,yjgC,"general stress protein, formate dehydrogenase, important for survival of salt and ethanol stress",unknown,formate dehydrogenase,yjgC,O34720,gene_detail+BG13190
new_347027_347149,S116,"new RNA feature, 5'UTR of putP
",,5'UTR of putP,S116,,
new_2409565_2409634,S873,"new RNA feature, 5'UTR of fer
",,5'UTR of fer,S873,,
BSU_06559,yezF,unknown,unknown,unknown,yezF,C0H3X3,
new_3649731_3649813_c,S1360,"new RNA feature, 5'UTR of tagO
",,5'UTR of tagO,S1360,,
new_1398413_1398495,S476,"new RNA feature, 5'UTR of ykoM
",,5'UTR of ykoM,S476,,
new_2075780_2076111,S724,"new RNA feature, intergenic region
",,intergenic region,S724,,
BSU_00940,cysS,cysteine-tRNA synthetase,translation,cysteine-tRNA synthetase,cysS;snpA,Q06752,gene_detail+BG10156
BSU_40530,cotF,spore coat protein,resistance of the spore,spore coat protein,cotF,P23261,gene_detail+BG10012
BSU_21160,yonA,unknown,unknown,unknown,yonA,O31957,gene_detail BG13614
BSU_20280,yorR,unknown,unknown,unknown,yorR,O31896,gene_detail+BG13702
BSU_11590,yjbL,unknown,unknown,unknown,yjbL,O31610,gene_detail BG13141
BSU_35390,yviE,unknown,unknown,unknown,yviE,P96502,gene_detail BG12450
BSU_05440,nap,carboxylesterase NA,lipid degradation,carboxylesterase NA,nap;cesA,P96688,gene_detail+BG11957
new_2049454_2050111,S706,"new RNA feature, 3'UTR of penP
",,3'UTR of penP,S706,,
new_2228723_2229384,S802,"new RNA feature, intergenic region
",,intergenic region,S802,,
BSU_37800,sivA,"inhibitor of [[protein|B29CAD04FB89ACC482EFCD29D50EDDA19145CAA2]] autophosphorylation, and subsequently of entry into [SW|sporulation]",control of entry into [SW|sporulation] via the [SW|phosphorelay],inhibitor of [[protein|B29CAD04FB89ACC482EFCD29D50EDDA19145CAA2]] autophosphorylation,sivA;yweA;ipa-74d,P39632,gene_detail+BG10620
BSU_40021,yxaK,unknown,unknown,unknown,yxaK;yxzK,C0H3T7,
BSU_10810,yisP,"farnesyl diphosphate phosphatase, production of farnesol",control of KinC activity,farnesyl diphosphate phosphatase,yisP;yucD,O06728,gene_detail BG12241
BSU_25350,yqfD,"[[protein|3CB24D493B3282278B7DC61CE3C793DFA815F9E2]]-dependent sporulation gene, similar to UDP-glucose 4-epimerase",sporulation,unknown,yqfD,P54469,gene_detail BG11654
BSU_09260,yhxA,similar to adenosylmethionine-8-amino-7-oxononanoate aminotransferase,unknown,unknown,yhxA,P33189,gene_detail BG10184
BSU_18970,yobI,unknown,unknown,unknown,yobI,O34784,gene_detail BG13501
BSU_34190,lutP,lactate permease,lactate uptake,lactate permease,lutP;yvfH,P71067,gene_detail BG11875
new_2961505_2961585_c,S1090,"new RNA feature, intergenic region
",,intergenic region,S1090,,
BSU_05990,tatCY,component of the [[protein|780FDF3DD260287428B397FFE7F44DDF1917381C]]-[[protein|E60FC9C9B273DD6B07B7B95819525DE5F35113CE]] twin-arginine translocase,TAT [SW|protein secretion],component of the twin-arginine translocation pathway,tatCY;ydiJ,O05523,gene_detail BG12207
BSU_23330,ypuC/2,part of the ypuC pseudogene,unknown,unknown,ypuC/2,,gene_detail+BG10514
BSU_36120,ywrB,subunit of chromate exporter (with [[protein|70CC5C9BCC676AB89C0BF80686BD98BA08FAE648]]),chromate detoxification,chromate exporter,ywrB;chr3N,O05216,gene_detail+BG12521
BSU_tRNA_7,trnSL-Ser1,tRNA-Ser,translation,transfer RNA-Ser,trnSL-Ser1,,gene_detail+BG00010
new_3236475_3237156,S1207,"new RNA feature, 5'UTR of malK
",,5'UTR of malK,S1207,,
new_654693_655136,S212,"new RNA feature, intergenic region
",,intergenic region,S212,,
BSU_38750,cydB,"cytochrome bd ubiquinol oxidase (subunit II), high affinity terminal oxidase",respiration,"cytochrome bd ubiquinol oxidase (subunit II), high affinity terminal oxidase",cydB;yxkL,P94365,gene_detail+BG11926
new_4122850_4123061_c,S1542,"new RNA feature, 5'UTR of yyzE
",,5'UTR of yyzE,S1542,,
BSU_37480,ywhH,unknown,unknown,unknown,ywhH,P71000,gene_detail+BG12462
BSU_05109,ydzN,unknown,unknown,unknown,ydzN,C0H3V7,
BSU_07860,yfkL,similar to multidrug resistance protein,unknown,unknown,yfkL,O34597,gene_detail+BG12928
BSU_08200,malP,"maltose-specific permease of the [SW|phosphotransferase systems|phosphotransferase system], EIICB of the [[category|SW 1.2.2|PTS]]",maltose uptake and phosphorylation,"maltose-specific [[category|SW 1.2.2|PTS]], EIICB",malP;glvC,P54715,gene_detail+BG11848
new_2193662_2194052_c,S776,"new RNA feature, intergenic region
",,intergenic region,S776,,
new_2516201_2516406,S911,"new RNA feature, 5'UTR of yqiG
",,5'UTR of yqiG,S911,,
new_3634793_3634897_c,S1351,"new RNA feature, 5'UTR of yvyC
",,5'UTR of yvyC,S1351,,
BSU_19220,recQ,"ATP-dependent DNA helicase, acts together with [[protein|BA755FA1CB1E0C006E9A23489A7C8997141AA498]]","control of DNA recombination, maintenance of genomic stability",ATP-dependent DNA helicase,yocI,O34748,gene_detail+BG13522
BSU_28310,ilvB,acetolactate synthase (large subunit),biosynthesis of branched-chain amino acids,acetolactate synthase (large subunit),ilvB,P37251,gene_detail BG10670
BSU_misc_RNA_73,ncrF,annotated in RefSeq,,,,,
BSU_34180,lutR,transcriptional repressor ([SW|GntR family]) of the [[gene|FEC83B66CEA311EA1650D61A215F82E9DF4E9F03]]-[[gene|57B9E37F6232189CD47C1B41FDCF43FCB8016AEB]]-[[gene|lutC ]]operon and of [[gene|E607B0D57398BCCF64CF3CE2110E632B0C3A109E]],control of lactate utilization,"transcriptional repressor, ([SW|GntR family])",lutR;yvfI,O07007,gene_detail+BG12434
BSU_33290,fhuC,hydroxamate siderophore [SW|ABC transporter ](ATP-binding protein) (ferrichrome und ferrioxamine),siderophore uptake,hydroxamate siderophore [SW|ABC transporter ](ATP-binding protein) (ferrichrome und ferrioxamine),fhuC,P49938,gene_detail+BG11390
BSU_28460,yslB,unknown,unknown,unknown,yslB,P42955,gene_detail+BG11236
BSU_09070,yhcG,similar to [SW|ABC transporter] (ATP-binding protein),unknown,[SW|ABC transporter] (ATP-binding protein),yhcG,P54591,gene_detail BG11585
BSU_01050,rplL,ribosomal protein L12,translation,ribosomal protein L12 (BL9),rplL,P02394,gene_detail BG10726
BSU_35720,tagF,CDP-glycerol:polyglycerol phosphate glycero-phosphotransferase,biosynthesis of teichoic acid,CDP-glycerol:polyglycerol phosphate glycero-phosphotransferase,tagF;rodC,P13485,gene_detail+BG10725
new_344370_344497,S115,"new RNA feature, intergenic region
",,intergenic region,S115,,
BSU_18310,ppsD,plipastatin synthetase,production of the antibacterial compound plipastatin,plipastatin synthetase,ppsD,P94459,gene_detail+BG11961
new_2028811_2029019,S692,"new RNA feature, 5'UTR of yozQ
",,5'UTR of yozQ,S692,,
BSU_05270,ydzF,[SW|MarR family|MarR/DUF24 family] transcription regulator,unknown,[SW|MarR family|MarR/DUF24 family] transcription regulator,ydzF,O31494,gene_detail+BG12809
BSU_07490,fecF,iron/citrate ABC transporter (ATP-binding protein),iron uptake,iron/citrate ABC transporter (ATP-binding protein),fecF;yfmF,O34510,gene_detail BG12957
BSU_01130,tufA,elongation factor Tu,translation,elongation factor Tu,tufA,P33166,gene_detail BG11056
BSU_23100,sigX,"[SW|RNA polymerase] ECF-type [SW|sigma factor] SigX, required for resistance against cationic antimicrobial peptides",resistance to cationic antimcrobial peptides,[SW|RNA polymerase] ECF-type [SW|sigma factor] SigX,sigX;ypuM,P35165,gene_detail BG10536
BSU_15510,pyrAA,carbamoyl-phosphate synthetase (glutaminase subunit),pyrimidine biosynthesis,carbamoyl-phosphate synthetase (glutaminase subunit),pyrAA,P25993,gene_detail BG10715
BSU_12590,xkdE,PBSX prophage,unknown,unknown,xkdE,P54325,gene_detail+BG11540
BSU_17510,ynaC,unknown,unknown,unknown,ynaC,P94481,gene_detail+BG12255
BSU_18330,ppsB,plipastatin synthetase,production of the antibacterial compound plipastatin,plipastatin synthetase,ppsB,P39846,gene_detail+BG10971
BSU_16260,ylxF,unknown,unknown,unknown,ylxF,P23454,gene_detail+BG10246
BSU_rRNA_16,rrnH-16S,16S rRNA,translation,ribosomal RNA-16S,rrnH-16S,,gene_detail+BG00044
BSU_09430,citR,transcriptional repressor of [[gene|6684F6083B001E9FDC5967799B715AE966B83E1D]],regulation of the minor citrate synthase,transcriptional repressor ([SW|LysR family]),citR,P39127,gene_detail BG10853
new_2869307_2869365_c,S1061,"new RNA feature, intergenic region
",,intergenic region,S1061,,
BSU_10020,serC,3-phosphoserine aminotransferase,biosynthesis of serine,3-phosphoserine aminotransferase,serC;yhaF;glyB,P80862,gene_detail BG12673
BSU_01220,rpsC,ribosomal protein,translation,ribosomal protein S3 (BS3),rpsC,P21465,gene_detail BG19005
BSU_35990,ywrO,similar to NAD(P)H oxidoreductase,unknown,unknown,ywrO,P80871,gene_detail BG12528
BSU_13789,ykzQ,similar to potassium binding protein,unknown,unknown,ykzQ,C0H403,
BSU_misc_RNA_32,bsrB,"6S RNA, important for timing of [SW|sporulation]",antagonist of [[protein|360F48D576DE950DF79C1A2677B7A35A8D8CC30C]],6S RNA,bsrB;6S-2 RNA,,
BSU_08220,yfiC,similar to [SW|ABC transporter] (ATP-binding protein),unknown,[SW|ABC transporter] (ATP-binding protein),yfiC,P54719,gene_detail+BG11850
BSU_21180,yomY,unknown,unknown,unknown,yomY,O31959,gene_detail+BG13612
new_3321221_3321355_c,S1249,"new RNA feature, 5'UTR of lipA
",,5'UTR of lipA,S1249,,
BSU_00660,yabT,"Ser/Thr kinase, controls [[category|SW 3.3.1]] and DNA integrity during spore development",control of DNA integrity during spore development,Ser/Thr kinase,yabT,P37562,gene_detail BG10129
new_4159718_4159789,S1558,"new RNA feature, intergenic region
",,intergenic region,S1558,,
BSU_26075,yqbK,similar to sheath tail protein,unknown,unknown,yqbK,P45927,gene_detail+BG11282
new_837745_838076,S263,"new RNA feature, intergenic region
",,intergenic region,S263,,
BSU_14840,ylaN,unknown,unknown,unknown,ylaN,O07638,gene_detail BG13351
BSU_40400,walK,"two-component sensor kinase, controls cell wall metabolism, co-ordinates cell wall remodelling with [SW|cell division] by controlling the transcription of genes for autolysins and their inhibitors",control of cell wall metabolism,two-component sensor kinase,walK;yycG,Q45614,gene_detail BG11461
new_2056617_2057213,S711,"new RNA feature, intergenic region
",,intergenic region,S711,,
new_1917098_1917430,S658,"new RNA feature, intergenic region
",,intergenic region,S658,,
BSU_29460,moaB,molybdopterin precursor biosynthesis,nitrate respiration,unknown,moaB,O34457,gene_detail+BG12618
BSU_09959,sscB,annotated in RefSeq,,,,,
new_4084590_4084742_c,S1528,"new RNA feature, 5'UTR of iolA
",,5'UTR of iolA,S1528,,
