old_locus_tag,locus_tag,Gene product,gene name,Functional class,Functional colour,Transcriptome p-adj value , Transcriptome log2fold change in 630?erm?spo0A, Proteome log2fold change in 630?erm?spo0A,Mature spore proteome (PMID:19542279)
CD2884,CD630_28840,"PTS system, cellobiose-specific IIB component",celA,1.5.3,3,not significant,not significant,-0.5043,not detected
CD2885,CD630_28850,"Transcriptional regulator, GntR family",,6.3.3,9,not significant,not significant,-0.028,not detected
CD2886,CD630_28860,"putative drug/sodium antiporter, MATE family",,1.4.3,3,not significant,not significant,not detected,not detected
CD2887,CD630_28870,putative diguanylate kinase signaling protein,,6.5.0,9,not significant,not significant,not detected,not detected
CD2888,CD630_28880,"ABC-type transport system, iron-family permease",,1.5.5,3,not significant,not significant,not detected,not detected
CD2889,CD630_28890,putative phage protein,,5.1.2,12,not significant,not significant,not detected,not detected
CD2890,CD630_28900,putative phage protein,,5.1.2,12,not significant,not significant,0.1659,not detected
CD2891,CD630_28910,conserved hypothetical protein,,0.0.2,10,not significant,not significant,-0.0098,not detected
CD2892,CD630_28920,putative phage protein,,5.1.2,12,not significant,not significant,not detected,not detected
CD2893,CD630_28930,putative phage protein,,5.1.2,12,not significant,not significant,not detected,not detected
CD2894,CD630_28940,putative cell wall hydrolase/autolysin,,5.1.2,12,not significant,not significant,not detected,not detected
CD2894A,CD630_28941,putative holin,,5.1.2,12,not significant,not significant,not detected,not detected
CD2895,CD630_28950,putative phage protein,,5.1.2,12,not significant,not significant,not detected,not detected
CD2896,CD630_28960,putative phage protein,,5.1.2,12,not significant,not significant,not detected,not detected
CD2897,CD630_28970,putative phage protein,,5.1.2,12,not significant,not significant,not detected,not detected
CD2898,CD630_28980,putative phage tail fiber protein,,5.1.2,12,not significant,not significant,not detected,not detected
CD2899,CD630_28990,putative phage protein,,5.1.2,12,not significant,not significant,not detected,not detected
CD2900,CD630_29000,putative phage tail protein,,5.1.2,12,not significant,not significant,not detected,not detected
CD2901,CD630_29010,putative phage protein,,5.1.2,12,not significant,not significant,not detected,not detected
CD2902,CD630_29020,putative phage protein,,5.1.2,12,not significant,not significant,not detected,not detected
CD2903,CD630_29030,putative phage tail protein,,5.1.2,12,not significant,not significant,not detected,not detected
CD2904,CD630_29040,putative phage cell wall hydrolase,,5.1.2,12,not significant,not significant,not detected,not detected
CD2905,CD630_29050,putative phage tail tape measure protein,,5.1.2,12,not significant,not significant,not detected,not detected
CD2906,CD630_29060,putative phage protein,,5.1.2,12,not significant,not significant,-0.4507,not detected
CD2907,CD630_29070,putative phage lipoprotein,,5.1.2,12,not significant,not significant,-0.5606,not detected
CD2907A,CD630_29071,putative phage protein,,5.1.2,12,not significant,not significant,not detected,not detected
CD2908,CD630_29080,putative phage protein,,5.1.2,12,not significant,not significant,not detected,not detected
CD2909,CD630_29090,putative phage protein,,5.1.2,12,not significant,not significant,not detected,not detected
CD2910,CD630_29100,putative phage protein,,5.1.2,12,not significant,not significant,not detected,not detected
CD2910A,CD630_29101,putative phage protein,,5.1.2,12,not significant,not significant,not detected,not detected
CD2911,CD630_29110,putative phage protein,,5.1.2,12,not significant,not significant,not detected,not detected
CD2912,CD630_29120,putative phage protein,,5.1.2,12,not significant,not significant,not detected,not detected
CD2913,CD630_29130,putative phage protein,,5.1.2,12,not significant,not significant,not detected,not detected
CD2914,CD630_29140,putative phage protein,,5.1.2,12,not significant,not significant,not detected,not detected
CD2915,CD630_29150,putative phage protein,,5.1.2,12,not significant,not significant,not detected,not detected
CD2916,CD630_29160,putative phage major capsid protein,,5.1.2,12,not significant,not significant,not detected,not detected
CD2917,CD630_29170,putative scaffold protein,,5.1.2,12,not significant,not significant,not detected,not detected
CD2919,CD630_29190,putative phage protein,,5.1.2,12,not significant,not significant,not detected,not detected
CD2920,CD630_29200,putative phage head protein,,5.1.2,12,not significant,not significant,not detected,not detected
CD2921,CD630_29210,putative phage portal protein,,5.1.2,12,not significant,not significant,not detected,not detected
CD2922,CD630_29220,putative phage terminase large subunit,,5.1.2,12,not significant,not significant,not detected,not detected
CD2923,CD630_29230,putative phage protein,,5.1.2,12,not significant,not significant,not detected,not detected
CD2924,CD630_29240,putative phage protein,,5.1.2,12,not significant,not significant,-2.632,not detected
CD2925,CD630_29250,putative phage protein,,5.1.2,12,5.15E-11,-1.4582,not detected,not detected
CD2926,CD630_29260,putative phage protein,,5.1.2,12,not significant,not significant,-0.0889,detected
CD2927,CD630_29270,"Transcriptional regulator, Phage-type",,5.1.2,12,not significant,not significant,not detected,not detected
CD2928,CD630_29280,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD2929,CD630_29290,putative phage protein,,5.1.2,12,not significant,not significant,not detected,not detected
CD2930,CD630_29300,putative phage anti-repressor protein,,5.1.2,12,not significant,not significant,not detected,not detected
CD2931,CD630_29310,putative phage endodeoxyribonuclease RusA-like,,5.1.2,12,not significant,not significant,not detected,not detected
CD2932,CD630_29320,putative phage protein,,5.1.2,12,not significant,not significant,not detected,not detected
CD2933,CD630_29330,Hypothetical protein,,0.0.0,8,not significant,not significant,not detected,not detected
CD2934,CD630_29340,putative phage protein,,5.1.2,12,not significant,not significant,not detected,not detected
CD2934A,CD630_29341,putative phage protein,,5.1.2,12,not significant,not significant,not detected,not detected
CD2935,CD630_29350,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD2936,CD630_29360,putative phage protein,,5.1.2,12,not significant,not significant,not detected,not detected
CD2937,CD630_29370,putative phage protein,,5.1.2,12,not significant,not significant,NaN,not detected
CD2938,CD630_29380,putative phage protein,,5.1.2,12,not significant,not significant,not detected,not detected
CD2939,CD630_29390,putative phage protein,,5.1.2,12,not significant,not significant,not detected,not detected
CD2940,CD630_29400,putative phage protein,,5.1.2,12,not significant,not significant,not detected,not detected
CD2941,CD630_29410,putative phage single-strand DNA-binding protein,,5.1.2,12,not significant,not significant,not detected,not detected
CD2942,CD630_29420,putative phage resolvase/integrase,,5.1.2,12,not significant,not significant,not detected,not detected
CD2943,CD630_29430,putative phage replication protein,,5.1.2,12,not significant,not significant,not detected,not detected
CD2944,CD630_29440,putative phage essential recombination function protein,,5.1.2,12,not significant,not significant,not detected,not detected
CD2945,CD630_29450,putative bacteriophage resistance protein,,5.1.2,12,not significant,not significant,not detected,not detected
CD2946,CD630_29460,putative phage protein,,5.1.2,12,not significant,not significant,not detected,not detected
CD2947,CD630_29470,putative phage protein,,5.1.2,12,not significant,not significant,not detected,not detected
CD2947A,CD630_29471,Hypothetical protein,,0.0.0,8,not significant,not significant,not detected,not detected
CD2948,CD630_29480,putative phage protein,,5.1.2,12,not significant,not significant,0.5302,not detected
CD2949,CD630_29490,"Transcriptional regulator, Phage-type",,5.1.2,12,not significant,not significant,not detected,not detected
CD2950,CD630_29500,"Transcriptional regulator, HTH-type",,6.5.0,9,not significant,not significant,-0.2185,not detected
CD2951,CD630_29510,putative phage protein,,5.1.2,12,not significant,not significant,not detected,not detected
CD2952,CD630_29520,putative phage site-specific integrase,,5.1.2,12,not significant,not significant,not detected,not detected
CD2952A,CD630_29521,"ABC-type transport system,ATP-binding protein",,1.5.5,3,0.0001,1.4047,-0.3335,not detected
CD2953,CD630_29530,"ABC-type transport system, iron-family extracellular solute-binding protein",,1.5.5,3,not significant,not significant,not detected,not detected
CD2954,CD630_29540,V-type ATP synthase subunit D,atpD,3.5.9,1,not significant,not significant,not detected,not detected
CD2955,CD630_29550,V-type ATP synthase beta chain (V-type ATPase subunit B),atpB,3.5.9,1,2.59E-06,-1.0225,-0.9692,not detected
CD2956,CD630_29560,V-type ATP synthase alpha chain (V-type ATPase subunit A),atpA,3.5.9,1,0.0001,-0.947,-1.0092,not detected
CD2956A,CD630_29561,V-type ATP synthase subunit F,atpF,3.5.9,1,not significant,not significant,not significant,not detected
CD2957,CD630_29570,V-type ATP synthase subunit C,atpC,3.5.9,1,not significant,not significant,not detected,not detected
CD2958,CD630_29580,V-type ATP synthase subunit E (V-type ATPase subunit E),atpE,3.5.9,1,not significant,not significant,-1.2381,not detected
CD2959,CD630_29590,V-type ATP synthase subunit K,atpK,3.5.9,1,not significant,not significant,not detected,not detected
CD2960,CD630_29600,V-type sodium ATP synthase subunit I,atpI,3.5.9,1,0.0015,-0.7478,not detected,not detected
CD2961,CD630_29610,uncharacterised protein,,7.0.0,13,not significant,not significant,-1.4857,not detected
CD2962,CD630_29620,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD2963,CD630_29630,conserved hypothetical protein,,0.0.2,10,not significant,not significant,0.0618,not detected
CD2964,CD630_29640,putative tRNA-binding protein,,2.2.11,2,not significant,not significant,-0.2793,not detected
CD2965,CD630_29650,putative signaling protein,,6.5.0,9,not significant,not significant,not detected,not detected
CD2966,CD630_29660,Aldehyde-alcohol dehydrogenase,adhE1,3.5.4,1,not significant,not significant,0.2107,detected
CD2966A,CD630_29661,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD2967,CD630_29670,Dipicolinate synthase subunit B,spoVFB,1.8.1,0,not significant,not significant,not detected,not detected
CD2968,CD630_29680,Dipicolinate synthase subunit A,spoVFA,1.8.1,0,not significant,not significant,not detected,not detected
CD2969,CD630_29690,putative AMP-binding protein,,7.0.0,13,not significant,not significant,not detected,not detected
CD2970,CD630_29700,putative thiolase,,7.0.0,13,not significant,not significant,not detected,not detected
CD2971,CD630_29710,Biotin synthase,bioY,3.2.2,7,not significant,not significant,not detected,not detected
CD2972,CD630_29720,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD2972A,CD630_29721,Fragment of conserved hypothetical protein (Central region),,0.0.2,11,not significant,not significant,not detected,not detected
CD2973,CD630_29730,putative acetyltransferase,,7.0.0,13,not significant,not significant,not detected,not detected
CD2974,CD630_29740,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD2975,CD630_29750,putative CRISPR-associated Cas2 family protein,,1.4.1,0,not significant,not significant,not detected,not detected
CD2976,CD630_29760,putative CRISPR-associated Cas1 family protein,,1.4.1,0,not significant,not significant,not detected,not detected
CD2977,CD630_29770,putative CRISPR-associated Cas4 family protein,,1.4.1,0,not significant,not significant,not detected,not detected
CD2978,CD630_29780,putative CRISPR-associated Cas3 family helicase,,1.4.1,0,0.0009,-0.7936,not detected,not detected
CD2979,CD630_29790,putative CRISPR-associated Cas5 family protein,,1.4.1,0,0.0068,-0.7559,-1.0456,not detected
CD2980,CD630_29800,putative CRISPR-associated autoregulator DevR family protein protein,,1.4.1,0,not significant,not significant,-0.4562,not detected
CD2981,CD630_29810,"putative CRISPR-associated protein, CXXC-CXXC",,1.4.1,0,0.0024,-0.8335,not detected,not detected
CD2982,CD630_29820,putative CRISPR-associated Cas6 family protein,,1.4.1,0,0.0045,-0.86,not detected,not detected
CD2983,CD630_29830,putative Helix-Turn-Helix DNA-binding protein,,7.0.0,13,not significant,not significant,not detected,not detected
CD2984,CD630_29840,"ABC-type transport system, permease",,1.5.5,3,not significant,not significant,not detected,not detected
CD2985,CD630_29850,"ABC-type transport system, ATP-binding protein",,1.5.5,3,not significant,not significant,not detected,not detected
CD2986,CD630_29860,Undecaprenyl-diphosphatase 2 (Undecaprenyl pyrophosphate phosphatase 2) (Bacitracin resistance protein 2),uppP2,1.4.3,0,not significant,not significant,not detected,not detected
CD2987,CD630_29870,Two-component sensor histidine kinase,,6.1.1,9,not significant,not significant,not detected,not detected
CD2988,CD630_29880,Two-component response regulator,,6.1.2,9,not significant,not significant,not detected,not detected
CD2989,CD630_29890,"ABC-type transport system, sulfonate-family extracellular solute-binding protein",ssuA2,1.5.5,3,not significant,not significant,not detected,not detected
CD2990,CD630_29900,"ABC-type transport system, sulfonate-family ATP-binding protein",ssuB2,1.5.5,3,not significant,not significant,not detected,not detected
CD2991,CD630_29910,"ABC-type transport system, sulfonate-family permease",ssuC2,1.5.5,3,not significant,not significant,not detected,not detected
CD2992,CD630_29920,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD2993,CD630_29930,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD2994,CD630_29940,Ribonucleoside-diphosphate reductase subunit beta (Ribonucleotide reductase small subunit),nrdF,3.3.11,7,not significant,not significant,0.2558,not detected
CD2995,CD630_29950,Ribonucleoside-diphosphate reductase subunit alpha (Ribonucleotide reductase large subunit),nrdE,3.3.11,7,not significant,not significant,0.4125,not detected
CD2996,CD630_29960,conserved hypothetical protein,,0.0.2,10,not significant,not significant,-0.1349,not detected
CD2997,CD630_29970,"ABC-type transport system, iron-family ATP-binding protein",,1.6.3,0,not significant,not significant,not detected,not detected
CD2998,CD630_29980,"ABC-type transport system, iron-family permease",,1.6.3,0,not significant,not significant,not detected,not detected
CD2999,CD630_29990,"ABC-type transport system, iron-family extracellular solute-binding protein",,1.6.3,0,not significant,not significant,-0.1132,not detected
CD3000,CD630_30000,Dihydrodipicolinate synthase 1,dapA1,3.1.13,7,not significant,not significant,not detected,not detected
CD3001,CD630_30010,putative hydrolase/isomerase/hydratase,,3.4.0,6,not significant,not significant,not detected,not detected
CD3002,CD630_30020,D-galactate dehydratase/Altronate hydrolase,uxaA,3.4.3,6,not significant,not significant,not detected,not detected
CD3003,CD630_30030,"putative N-terminus region of carbohydrate hydrolase, SAF domain",,3.4.3,6,not significant,not significant,0.3544,not detected
CD3004,CD630_30040,2-keto-3-deoxygluconate permease 2,kdgT2,1.5.3,3,not significant,not significant,not detected,not detected
CD3005,CD630_30050,"Transcriptional regulator, IclR family",,6.3.4,9,not significant,not significant,-0.1593,not detected
CD3006,CD630_30060,Alcohol dehydrogenase,,3.5.4,1,not significant,not significant,0.2602,not detected
CD3007,CD630_30070,uncharacterised protein with SH3 domain,,7.0.0,13,not significant,not significant,not detected,detected
CD3008,CD630_30080,Fragment of conserved hypothetical protein (N-terminal region),,0.0.2,11,not significant,not significant,not detected,not detected
CD3009,CD630_30090,"putative pyridine nucleotide-disulphide oxidoreductase, class I",,3.3.21,7,not significant,not significant,-0.4748,not detected
CD3010,CD630_30100,putative cytochrome C assembly protein,,3.2.6,7,not significant,not significant,not detected,not detected
CD3011,CD630_30110,"Transcriptional regulator, HxlR family DUF24",,6.5.0,9,not significant,not significant,0.522,not detected
CD3012,CD630_30120,putative alpha-mannosidase,,3.4.3,6,not significant,not significant,0.1455,not detected
CD3013,CD630_30130,"PTS system, mannose-specfic IIC component",,1.5.3,3,not significant,not significant,not detected,not detected
CD3014,CD630_30140,"PTS system, mannose-specfic IIB component",,1.5.3,3,not significant,not significant,-0.1257,not detected
CD3015,CD630_30150,"PTS system, mannose-specfic IIA component",,1.5.3,3,not significant,not significant,-0.4482,not detected
CD3016,CD630_30160,"Transcription antiterminator, PTS operon regulator",,6.5.0,9,not significant,not significant,-0.1232,not detected
CD3017,CD630_30170,putative glucose uptake protein,,1.5.3,3,not significant,not significant,not detected,not detected
CD3018,CD630_30180,oxidoreductase,,3.5.3,1,not significant,not significant,-0.0596,not detected
CD3019,CD630_30190,putative transporter,,1.5.5,3,not significant,not significant,not detected,not detected
CD3020,CD630_30200,"Fragment of conserved hypothetical protein,DUF1848 family",,0.0.2,11,not significant,not significant,not detected,not detected
CD3022,CD630_30220,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD3023,CD630_30230,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD3024,CD630_30240,uncharacterised protein,,7.0.0,13,4.10E-05,-1.5335,not detected,not detected
CD3025,CD630_30250,"putative ferredoxin, iron-sulphur domain-containing protein",,3.5.3,1,not significant,not significant,not detected,not detected
CD3026,CD630_30260,conserved hypothetical protein,,0.0.2,10,not significant,not significant,0.0387,not detected
CD3027,CD630_30270,"PTS system, glucose-like IIA component",,1.5.3,3,not significant,not significant,-0.4296,not detected
CD3028,CD630_30280,putative phosphosugar isomerase,,3.4.3,6,not significant,not significant,-0.569,not detected
CD3029,CD630_30290,Bifunctional protein: cystathionine beta-lyase / repressor,malY,3.4.3,6,not significant,not significant,not detected,not detected
CD3030,CD630_30300,"PTS system, glucose-like IIBC component",,1.5.3,3,not significant,not significant,0.1414,not detected
CD3031,CD630_30310,"Transcription antiterminator, PTS operon regulator",,6.5.0,9,not significant,not significant,0.3924,not detected
CD3032,CD630_30320,putative aminotransferase,,3.3.20,7,not significant,not significant,not detected,detected
CD3033,CD630_30330,Thioredoxin,trxA1,3.2.15,7,not significant,not significant,-0.2448,not detected
CD3034,CD630_30340,"Transcriptional regulator, TrmB family",,6.5.0,9,not significant,not significant,not detected,not detected
CD3035,CD630_30350,"phenazine biosynthesis protein, phzf family",,3.3.21,7,not significant,not significant,0.112,not detected
CD3036,CD630_30360,"Transporter, Major Facilitator Superfamily (MFS)",,1.5.5,3,4.54E-99,4.126,not detected,not detected
CD3037,CD630_30370,"Transcriptional regulator, CarD family",,6.5.0,9,not significant,not significant,not detected,not detected
CD3038,CD630_30380,uncharacterised protein,,7.0.0,13,0.0045,0.8123,not detected,not detected
CD3039,CD630_30390,putative ATPase,,7.0.0,13,not significant,not significant,not detected,not detected
CD3040,CD630_30400,conserved hypothetical protein,,0.0.2,10,not significant,not significant,-0.2243,not detected
CD3041,CD630_30410,"Proline iminopeptidase (Proline aminopeptidase) (PIP), peptidase S33 family",pepI,2.1.4,5,not significant,not significant,-0.0794,not detected
CD3042,CD630_30420,putative membrane protein,,4.1.6,3,not significant,not significant,not detected,not detected
CD3043,CD630_30430,conserved hypothetical protein,,0.0.2,10,not significant,not significant,-0.4411,not detected
CD3044,CD630_30440,"Transcriptional regulator, RpiR family",,6.5.0,9,not significant,not significant,not detected,not detected
CD3045,CD630_30450,"putative ATPase, BadF/BadG/BcrA/BcrD type",,7.0.0,13,not significant,not significant,not detected,not detected
CD3046,CD630_30460,N-acetylmuramic acid 6-phosphate etherase,murQ,3.5.0,1,not significant,not significant,not detected,not detected
CD3047,CD630_30470,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD3048,CD630_30480,"PTS system, lactose/cellobiose-family IIC membrane component",,1.5.3,3,not significant,not significant,not detected,not detected
CD3049,CD630_30490,"PTS system, lactose/cellobiose-family IIB subunit",,1.5.3,3,not significant,not significant,not detected,not detected
CD3050,CD630_30500,putative membrane protein,,4.1.6,3,not significant,not significant,not detected,not detected
CD3051,CD630_30510,Anhydro-N-acetylmuramic acid kinase (AnhMurNAc kinase),anmK,3.3.0,7,not significant,not significant,not detected,not detected
CD3053,CD630_30530,Two-component sensor histidine kinase,,6.1.1,9,not significant,not significant,not detected,not detected
CD3054,CD630_30540,Two-component response regulator,,6.1.2,9,not significant,not significant,not detected,not detected
CD3055,CD630_30550,"ABC-type transport system, permease",,1.5.5,3,not significant,not significant,not detected,not detected
CD3056,CD630_30560,"ABC-type transport system, ATP-binding protein",,1.5.5,3,not significant,not significant,not detected,not detected
CD3057,CD630_30570,"Transporter, Major Facilitator Superfamily (MFS)",,1.5.3,3,not significant,not significant,not detected,not detected
CD3058,CD630_30580,"PTS system, alpha-glucoside-specific IIA component",,1.5.3,3,not significant,not significant,not detected,not detected
CD3059,CD630_30590,putative membrane protein,,4.1.6,3,not significant,not significant,not detected,not detected
CD3060,CD630_30600,Phospho-alpha-glucosidase,,3.4.3,6,not significant,not significant,not detected,not detected
CD3061,CD630_30610,"PTS system, alpha-glucoside-specific IIBC component",,1.5.3,3,not significant,not significant,not detected,not detected
CD3062,CD630_30620,"Transcriptional regulator, RpiR family",,6.5.0,9,not significant,not significant,not detected,not detected
CD3063,CD630_30630,"putative peptidase, S41 family",,2.1.4,5,not significant,not significant,not detected,not detected
CD3064,CD630_30640,Xylose isomerase,xylA,3.4.3,6,not significant,not significant,not detected,not detected
CD3065,CD630_30650,Xylulose kinase,xylB,3.4.3,6,not significant,not significant,not detected,not detected
CD3066,CD630_30660,"Transcriptional regulator, Xylose repressor",xylR,6.3.9,9,not significant,not significant,not detected,not detected
CD3067,CD630_30670,"PTS system, xyloside-specific IIA component",xynA,1.5.3,3,not significant,not significant,-0.3221,not detected
CD3068,CD630_30680,"PTS system, xyloside-specific IIB component",xynB,1.5.3,3,not significant,not significant,0.0537,not detected
CD3069,CD630_30690,"PTS system, xyloside-specific IID component",xynD,1.5.3,3,not significant,not significant,not detected,not detected
CD3070,CD630_30700,"PTS system, xyloside-specific IIC component",xynC,1.5.3,3,not significant,not significant,not detected,not detected
CD3071,CD630_30710,Glycosyl hydrolase,,3.4.3,6,not significant,not significant,-0.1839,not detected
CD3072,CD630_30720,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD3073,CD630_30730,putative membrane protein,,4.1.6,3,not significant,not significant,-0.2863,not detected
CD3074,CD630_30740,tagatose-bisphosphate aldolase,,3.4.3,6,not significant,not significant,not detected,not detected
CD3075,CD630_30750,"PTS system, tagatose-specific IIABC component",tagABC,1.5.3,3,not significant,not significant,not detected,not detected
CD3076,CD630_30760,Tagatose-6-phosphate kinase,tagK,3.4.3,6,not significant,not significant,not detected,not detected
CD3077,CD630_30770,"Transcriptional regulator, RpiR family",,6.5.0,9,not significant,not significant,not detected,not detected
CD3078,CD630_30780,putative membrane protein,,4.1.6,3,not significant,not significant,not detected,not detected
CD3079,CD630_30790,"6-phospho-beta-glucosidase, bglA1",bglA1,3.4.3,6,not significant,not significant,not detected,not detected
CD3080,CD630_30800,"PTS system, lactose/cellobiose-family IIA component",,1.5.3,3,not significant,not significant,not detected,not detected
CD3081,CD630_30810,"PTS system, lactose/cellobiose-family IIC component",,1.5.3,3,not significant,not significant,not detected,not detected
CD3082,CD630_30820,"PTS system, lactose/cellobiose-family IIB component",,1.5.3,3,not significant,not significant,not detected,not detected
CD3083,CD630_30830,"Transcription antiterminator, PTS operon regulator",,6.5.0,9,not significant,not significant,0.1178,not detected
CD3084,CD630_30840,Glycerate kinase,garK,3.4.3,6,not significant,not significant,not detected,not detected
CD3085,CD630_30850,Alpha-mannosidase,mngB,3.4.3,6,not significant,not significant,not detected,not detected
CD3086,CD630_30860,"PTS system, 2-O-a-mannosyl-D-glycerate-specific IIABC component",mngA,1.5.3,3,not significant,not significant,not detected,not detected
CD3087,CD630_30870,"Transcriptional regulator, RpiR family",,6.5.0,9,not significant,not significant,0.1379,not detected
CD3088,CD630_30880,putative cellobiose-phosphate degrading protein,,3.4.3,6,not significant,not significant,0.5278,not detected
CD3089,CD630_30890,"PTS system, glucose-like IIBC component",,1.5.3,3,not significant,not significant,0.1709,not detected
CD3090,CD630_30900,"Transcriptional regulator, GntR family",treR,6.3.3,9,not significant,not significant,0.2081,not detected
CD3091,CD630_30910,Trehalose-6-phosphate hydrolase,treA,3.4.3,6,0.006,0.5755,0.2431,not detected
CD3092,CD630_30920,putative amino acid permease,,1.5.1,3,not significant,not significant,-3.2915,not detected
CD3093,CD630_30930,putative gamma-glutamyl-gamma-aminobutyrate hydrolase,,3.3.15,7,not significant,not significant,-3.6856,not detected
CD3094,CD630_30940,"Transcriptional regulator, sigma-54-dependent",,6.5.0,9,not significant,not significant,not detected,not detected
CD3094A,CD630_30941,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD3095,CD630_30950,"6-phospho-beta-glucosidase, bglA2",bglA2,3.4.3,6,not significant,not significant,0.3899,not detected
CD3096,CD630_30960,"6-phospho-beta-glucosidase, bglA3",bglA3,3.4.3,6,not significant,not significant,0.6145,not detected
CD3097,CD630_30970,"PTS system, beta-glucoside-specific IIABC component, bglF2",bglF2,1.5.3,3,not significant,not significant,0.5771,not detected
CD3098,CD630_30980,"Transcription antiterminator, PTS operon regulator, bglG1",bglG1,6.5.0,9,not significant,not significant,not detected,not detected
CD3099,CD630_30990,"putative amidohydrolase, M20D family",,2.1.4,5,not significant,not significant,not detected,not detected
CD3100,CD630_31000,"putative C4-dicarboxylate anaerobic carrier,DcuC family",,1.5.3,3,not significant,not significant,not detected,not detected
CD3100A,CD630_31001,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD3101,CD630_31010,"PTS system, glucose-like IIBC component",,1.5.3,3,not significant,not significant,not detected,not detected
CD3102,CD630_31020,"putative peptidase, M20 family, peptidase V related",,2.1.4,5,not significant,not significant,not detected,not detected
CD3103,CD630_31030,"PTS system, glucose-like IIA component",,1.5.3,3,not significant,not significant,-0.0456,not detected
CD3104,CD630_31040,"putative hydrolase, HAD superfamily, IIB subfamily; putative sugar phosphatase",,7.0.0,13,not significant,not significant,not detected,not detected
CD3105,CD630_31050,putative iron-containing alcohol dehydrogenase,,3.5.4,1,not significant,not significant,not detected,not detected
CD3106,CD630_31060,Transaldolase,,3.5.0,1,not significant,not significant,not detected,not detected
CD3107,CD630_31070,"Transcription antiterminator, PTS operon regulator",,6.5.0,9,not significant,not significant,not detected,not detected
CD3108,CD630_31080,putative membrane protein,,4.1.6,3,not significant,not significant,not detected,not detected
CD3109,CD630_31090,putative pentose-5-phosphate 3-epimerase,,3.4.3,6,not significant,not significant,not detected,not detected
CD3110,CD630_31100,6-phosphofructokinase,,3.4.3,6,not significant,not significant,not detected,not detected
CD3111,CD630_31110,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD3112,CD630_31120,"putative peptidase, M20D family",,2.1.4,5,not significant,not significant,not detected,not detected
CD3113,CD630_31130,putative amidohydrolase,,3.4.5,6,not significant,not significant,not detected,not detected
CD3114,CD630_31140,putative membrane protein,,4.1.6,3,not significant,not significant,not detected,not detected
CD3115,CD630_31150,"6-phospho-beta-glucosidase, bglA4",bglA4,3.4.3,6,3.12E-15,-1.7042,not detected,not detected
CD3116,CD630_31160,"PTS system, beta-glucoside-specific IIABC component, bglF3",bglF3,1.5.3,3,1.35E-10,-1.4634,-0.6043,not detected
CD3117,CD630_31170,"Transcription antiterminator, PTS operon regulator, bglG2",bglG2,6.5.0,9,8.83E-09,-1.4419,not detected,not detected
CD3118,CD630_31180,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD3119,CD630_31190,"putative UDP-glycosyltransferase, MGT subfamily",,4.1.9,3,not significant,not significant,not detected,not detected
CD3120,CD630_31200,"Transcriptional regulator, AbrB family",,6.5.0,9,not significant,not significant,not detected,not detected
CD3120A,CD630_31201,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD3121,CD630_31210,putative flavodoxin/nitric oxide synthase,,3.5.3,1,not significant,not significant,not detected,not detected
CD3122,CD630_31220,"Transcriptional regulator, ArsR family",,6.3.13,9,not significant,not significant,not detected,not detected
CD3123,CD630_31230,4fe-4s binding domain protein,,3.5.3,1,not significant,not significant,not detected,not detected
CD3124,CD630_31240,"6-phospho-beta-glucosidase, bglA5",bglA5,3.4.3,6,not significant,not significant,not detected,not detected
CD3125,CD630_31250,"PTS system, beta-glucoside-specific IIABC component, bglF4",bglF4,1.5.3,3,not significant,not significant,not detected,not detected
CD3126,CD630_31260,"Transcription antiterminator, PTS operon regulator, bglG3",bglG3,6.5.0,9,not significant,not significant,not detected,not detected
CD3127,CD630_31270,"PTS system, beta-glucoside-like IIBC component",,1.5.3,3,not significant,not significant,not detected,not detected
CD3128,CD630_31280,"Beta-phosphoglucomutase (beta-D-Glucose 1,6-phosphomutase)",pgmB1,3.4.3,6,not significant,not significant,not detected,not detected
CD3129,CD630_31290,Glycosyl hydrolase/phosphorylase,,3.4.3,6,not significant,not significant,not detected,not detected
CD3130,CD630_31300,"6-phospho-beta-glucosidase, bglA6",bglA6,3.4.3,6,0.0094,1.0453,not detected,not detected
CD3131,CD630_31310,"Transcriptional regulator, AraC family",,6.3.2,9,not significant,not significant,not detected,not detected
CD3132,CD630_31320,"PTS system, fructose-like IIA component",,1.5.3,3,not significant,not significant,not detected,not detected
